23:59::12 [init] AGV: 6 Online
23:59::12 [init] Mac: 06
23:59::12 [init] Power param: FullLimit=0,HighLimit=0,LowLimit=0
00:02::25 [recv] set Path:1
00:02::25 [recv] set Path:1
00:02::25 [recv] set Path:1
00:02::25 [recv] set Path:1
00:02::25 [recv] set Path:1
00:02::25 [recv] set Path:1
00:02::25 [recv] set Path:1
00:02::25 [recv] set Path:1
00:02::25 [recv] set Path:1
00:02::25 [recv] set Path:1
00:02::26 [send] set path enable
00:02::30 [proc] plan: currentID:11
00:02::30 [proc] plan: currentID:11
00:02::30 [proc] plan: currentID:11
00:02::30 [proc] plan: currentID:11
00:02::30 [recv] set Path:1
00:02::30 [recv] set Path:1
00:02::30 [recv] set Path:1
00:02::30 [recv] set Path:1
00:02::30 [recv] set Path:1
00:02::30 [recv] set Path:1
00:02::30 [recv] set Path:1
00:02::30 [recv] set Path:1
00:02::30 [recv] set Path:1
00:02::30 [recv] set Path:1
00:02::30 [send] set path enable
00:02::35 [proc] plan: currentID:109
00:02::35 [recv] set Path:1
00:02::35 [recv] set Path:1
00:02::35 [recv] set Path:1
00:02::35 [recv] set Path:1
00:02::35 [recv] set Path:1
00:02::35 [recv] set Path:1
00:02::35 [recv] set Path:1
00:02::35 [recv] set Path:1
00:02::35 [recv] set Path:1
00:02::35 [recv] set Path:1
00:02::35 [send] set path enable
00:02::38 [proc] plan: currentID:107
00:02::39 [proc] plan: currentID:106
00:02::39 [recv] set Path:1
00:02::39 [recv] set Path:1
00:02::39 [recv] set Path:1
00:02::39 [recv] set Path:1
00:02::39 [recv] set Path:1
00:02::39 [recv] set Path:1
00:02::39 [recv] set Path:1
00:02::39 [recv] set Path:1
00:02::39 [recv] set Path:1
00:02::39 [recv] set Path:1
00:02::40 [proc] plan: currentID:113
00:02::41 [send] set path enable
00:02::43 [proc] plan: currentID:114
00:02::43 [recv] set Path:1
00:02::43 [recv] set Path:1
00:02::43 [recv] set Path:1
00:02::43 [recv] set Path:1
00:02::43 [recv] set Path:1
00:02::43 [recv] set Path:1
00:02::43 [recv] set Path:1
00:02::43 [recv] set Path:1
00:02::43 [recv] set Path:1
00:02::43 [recv] set Path:1
