13:27::38 [init] AGV: 1 Online
13:27::38 [init] Mac: 01
13:27::38 [init] Power param: FullLimit=0,HighLimit=0,LowLimit=0
13:27::38 [recv] set Path:1
13:27::39 [recv] set Path:1
13:27::40 [send] set path enable
13:27::40 [proc] plan: currentID:1
13:27::41 [recv] set Path:1
13:27::42 [send] set path enable
13:27::43 [send] set path enable
13:27::44 [send] set path enable
13:27::45 [send] set path enable
13:27::46 [send] set path enable
13:27::47 [send] set path enable
13:27::48 [send] set path enable
13:27::49 [send] set path enable
13:27::51 [send] set path enable
13:27::52 [send] set path enable
13:27::53 [send] set path enable
13:27::54 [send] set path enable
13:27::55 [send] set path enable
13:27::56 [send] set path enable
13:27::57 [send] set path enable
13:27::58 [send] set path enable
13:27::59 [send] set path enable
13:28::00 [send] set path enable
13:28::01 [send] set path enable
13:28::02 [send] set path enable
13:28::03 [send] set path enable
13:28::04 [send] set path enable
13:28::05 [send] set path enable
13:28::06 [send] set path enable
13:28::07 [send] set path enable
13:28::09 [send] set path enable
13:28::10 [send] set path enable
13:28::11 [send] set path enable
13:28::12 [send] set path enable
13:28::13 [send] set path enable
13:28::14 [send] set path enable
13:28::15 [send] set path enable
13:28::16 [send] set path enable
13:28::17 [send] set path enable
13:28::18 [send] set path enable
13:28::19 [send] set path enable
13:28::20 [send] set path enable
13:28::21 [send] set path enable
13:28::22 [send] set path enable
13:28::23 [send] set path enable
13:28::24 [send] set path enable
13:28::26 [send] set path enable
13:28::27 [send] set path enable
13:28::28 [send] set path enable
13:28::29 [send] set path enable
13:28::30 [send] set path enable
13:28::31 [send] set path enable
13:28::32 [send] set path enable
13:28::33 [send] set path enable
13:28::34 [send] set path enable
13:28::35 [send] set path enable
13:28::36 [send] set path enable
13:28::37 [send] set path enable
13:28::38 [send] set path enable
13:28::39 [send] set path enable
13:28::40 [send] set path enable
13:28::41 [send] set path enable
13:28::42 [send] set path enable
13:28::44 [send] set path enable
13:28::45 [send] set path enable
13:28::46 [send] set path enable
13:28::47 [send] set path enable
13:28::48 [send] set path enable
13:28::49 [send] set path enable
13:28::50 [send] set path enable
13:28::51 [send] set path enable
13:28::52 [send] set path enable
13:28::53 [send] set path enable
13:28::54 [send] set path enable
13:28::55 [send] set path enable
13:28::56 [send] set path enable
13:28::57 [send] set path enable
13:28::58 [send] set path enable
13:28::59 [send] set path enable
13:29::01 [send] set path enable
13:29::02 [send] set path enable
13:29::03 [send] set path enable
13:29::04 [send] set path enable
13:29::05 [send] set path enable
13:29::06 [send] set path enable
13:29::07 [send] set path enable
13:29::08 [send] set path enable
13:29::09 [send] set path enable
13:29::10 [send] set path enable
13:29::11 [send] set path enable
13:29::12 [send] set path enable
13:29::13 [send] set path enable
13:29::14 [send] set path enable
13:29::15 [send] set path enable
13:29::16 [send] set path enable
13:29::17 [send] set path enable
13:29::19 [send] set path enable
13:29::20 [send] set path enable
13:29::21 [send] set path enable
13:29::22 [send] set path enable
13:29::23 [send] set path enable
13:29::24 [send] set path enable
13:29::25 [send] set path enable
13:29::26 [send] set path enable
13:29::27 [send] set path enable
13:29::28 [send] set path enable
13:29::29 [send] set path enable
13:29::30 [send] set path enable
13:29::31 [send] set path enable
13:29::32 [send] set path enable
13:29::33 [send] set path enable
13:29::34 [send] set path enable
13:29::36 [send] set path enable
13:29::37 [send] set path enable
13:29::38 [send] set path enable
13:29::39 [send] set path enable
13:29::40 [send] set path enable
13:29::41 [send] set path enable
13:29::42 [send] set path enable
13:29::43 [send] set path enable
13:29::44 [send] set path enable
13:29::45 [send] set path enable
13:29::46 [send] set path enable
13:29::47 [send] set path enable
13:29::48 [send] set path enable
13:29::49 [send] set path enable
13:29::50 [send] set path enable
13:29::51 [send] set path enable
13:29::52 [send] set path enable
13:29::54 [send] set path enable
13:29::55 [send] set path enable
13:29::56 [send] set path enable
13:29::57 [send] set path enable
13:29::58 [send] set path enable
13:29::59 [send] set path enable
13:30::00 [send] set path enable
13:30::01 [send] set path enable
13:30::02 [send] set path enable
13:30::03 [send] set path enable
13:30::04 [send] set path enable
13:30::05 [send] set path enable
13:30::06 [send] set path enable
13:30::07 [send] set path enable
13:30::08 [send] set path enable
13:30::09 [send] set path enable
13:30::11 [send] set path enable
13:30::12 [send] set path enable
13:30::13 [send] set path enable
13:30::14 [send] set path enable
13:30::15 [send] set path enable
13:30::16 [send] set path enable
