11:09::10 [send] get power cmd
11:09::10 [send] set path enable
11:09::11 [send] get power cmd
11:09::11 [send] set path enable
11:09::12 [send] get power cmd
11:09::13 [send] set path enable
11:09::13 [send] get power cmd
11:09::14 [send] set path enable
11:09::14 [send] get power cmd
11:09::15 [send] set path enable
11:09::15 [send] get power cmd
11:09::16 [send] set path enable
11:09::16 [send] get power cmd
11:09::17 [send] set path enable
11:09::18 [send] get power cmd
11:09::18 [send] set path enable
11:09::19 [send] get power cmd
11:09::19 [send] set path enable
11:09::20 [send] get power cmd
11:09::20 [send] set path enable
11:09::21 [send] get power cmd
11:09::21 [send] set path enable
11:09::22 [send] get power cmd
11:09::22 [send] set path enable
11:09::23 [send] get power cmd
11:09::23 [send] set path enable
11:09::24 [send] get power cmd
11:09::24 [send] set path enable
11:09::25 [send] get power cmd
11:09::25 [send] set path enable
11:09::26 [send] get power cmd
11:09::26 [send] set path enable
11:09::27 [send] get power cmd
11:09::27 [send] set path enable
11:09::28 [send] get power cmd
11:09::30 [send] set path enable
11:09::30 [send] get power cmd
11:09::31 [send] set path enable
11:09::32 [send] get power cmd
11:09::32 [send] set path enable
11:09::33 [send] get power cmd
11:09::33 [send] set path enable
11:09::34 [send] get power cmd
11:09::34 [send] set path enable
11:09::35 [send] get power cmd
11:09::35 [send] set path enable
11:09::36 [send] get power cmd
11:09::36 [send] set path enable
11:09::37 [send] get power cmd
11:09::37 [send] set path enable
11:09::38 [send] get power cmd
11:09::38 [send] set path enable
11:09::39 [send] get power cmd
11:09::39 [send] set path enable
11:09::40 [send] get power cmd
11:09::41 [send] set path enable
11:09::42 [send] get power cmd
11:09::42 [send] set path enable
11:09::43 [send] get power cmd
11:09::44 [send] set path enable
11:09::44 [send] get power cmd
11:09::45 [send] set path enable
11:09::46 [send] get power cmd
11:09::46 [send] set path enable
11:09::47 [send] get power cmd
11:09::47 [send] set path enable
11:09::48 [send] get power cmd
11:09::48 [send] set path enable
11:09::49 [send] get power cmd
11:09::50 [send] set path enable
11:09::50 [send] get power cmd
11:09::51 [send] set path enable
11:09::52 [send] get power cmd
11:09::52 [send] set path enable
11:09::53 [send] get power cmd
11:09::53 [send] set path enable
11:09::54 [send] get power cmd
11:09::54 [send] set path enable
11:09::57 [send] get power cmd
11:09::57 [send] set path enable
11:09::59 [send] get power cmd
11:09::59 [send] set path enable
11:10::00 [send] get power cmd
11:10::00 [send] set path enable
11:10::01 [send] get power cmd
11:10::01 [send] set path enable
11:10::02 [send] get power cmd
11:10::03 [send] set path enable
11:10::03 [send] get power cmd
