00:00::22 [init] AGV: 9 Online
00:00::22 [init] Mac: 09
00:00::22 [init] Power param: FullLimit=0,HighLimit=0,LowLimit=0
00:02::55 [recv] set Path:1
00:02::55 [recv] set Path:1
00:02::55 [recv] set Path:1
00:02::55 [recv] set Path:1
00:02::55 [recv] set Path:1
00:02::55 [recv] set Path:1
00:02::55 [recv] set Path:1
00:02::55 [recv] set Path:1
00:02::55 [recv] set Path:1
00:02::55 [recv] set Path:1
00:02::56 [send] set path enable
00:02::57 [proc] plan: currentID:136
00:02::58 [recv] set Path:1
00:02::58 [recv] set Path:1
00:02::58 [recv] set Path:1
00:02::58 [recv] set Path:1
00:02::58 [recv] set Path:1
00:02::58 [recv] set Path:1
00:02::58 [recv] set Path:1
00:02::58 [recv] set Path:1
00:02::58 [recv] set Path:1
00:02::58 [recv] set Path:1
00:02::59 [send] set path enable
00:02::59 [proc] plan: currentID:128
00:03::01 [proc] plan: currentID:126
00:03::02 [recv] set Path:1
00:03::02 [recv] set Path:1
00:03::02 [recv] set Path:1
00:03::02 [recv] set Path:1
00:03::02 [recv] set Path:1
00:03::02 [recv] set Path:1
00:03::02 [recv] set Path:1
00:03::02 [recv] set Path:1
00:03::02 [recv] set Path:1
00:03::02 [recv] set Path:1
00:03::03 [send] set path enable
00:03::03 [proc] plan: currentID:118
00:03::05 [proc] plan: currentID:116
00:03::05 [recv] set Path:1
00:03::05 [recv] set Path:1
00:03::05 [recv] set Path:1
00:03::05 [recv] set Path:1
00:03::05 [recv] set Path:1
00:03::05 [recv] set Path:1
00:03::05 [recv] set Path:1
00:03::05 [recv] set Path:1
00:03::05 [recv] set Path:1
00:03::05 [recv] set Path:1
00:03::08 [proc] plan: currentID:110
00:03::08 [send] set path enable
00:03::09 [proc] plan: currentID:108
00:03::09 [recv] set Path:1
00:03::09 [recv] set Path:1
00:03::09 [recv] set Path:1
00:03::09 [recv] set Path:1
00:03::09 [recv] set Path:1
00:03::09 [recv] set Path:1
00:03::09 [recv] set Path:1
00:03::09 [recv] set Path:1
00:03::09 [recv] set Path:1
00:03::09 [recv] set Path:1
00:03::10 [send] set path enable
00:03::11 [proc] plan: currentID:105
00:03::18 [proc] plan: currentID:100
00:03::20 [proc] plan: currentID:96
00:03::22 [recv] set Path:1
00:03::22 [recv] set Path:1
00:03::22 [recv] set Path:1
00:03::22 [recv] set Path:1
00:03::22 [recv] set Path:1
00:03::22 [recv] set Path:1
00:03::22 [recv] set Path:1
00:03::22 [recv] set Path:1
00:03::22 [recv] set Path:1
00:03::22 [recv] set Path:1
00:03::24 [send] set path enable
00:03::27 [proc] plan: currentID:95
00:03::27 [proc] plan: currentID:94
00:03::27 [recv] set Path:1
00:03::27 [recv] set Path:1
00:03::27 [recv] set Path:1
00:03::27 [recv] set Path:1
00:03::27 [recv] set Path:1
00:03::27 [recv] set Path:1
00:03::27 [recv] set Path:1
00:03::27 [recv] set Path:1
00:03::27 [recv] set Path:1
00:03::27 [recv] set Path:1
00:03::28 [send] set path enable
00:03::30 [proc] plan: currentID:92
00:03::32 [proc] plan: currentID:23
00:03::33 [recv] set Path:1
00:03::33 [recv] set Path:1
00:03::33 [recv] set Path:1
00:03::33 [recv] set Path:1
00:03::33 [recv] set Path:1
00:03::33 [recv] set Path:1
00:03::33 [recv] set Path:1
00:03::33 [recv] set Path:1
00:03::33 [recv] set Path:1
00:03::33 [recv] set Path:1
00:03::34 [send] set path enable
00:03::36 [proc] plan: currentID:92
00:03::36 [recv] set Path:1
00:03::36 [recv] set Path:1
00:03::36 [recv] set Path:1
00:03::36 [recv] set Path:1
00:03::36 [recv] set Path:1
00:03::36 [recv] set Path:1
00:03::36 [recv] set Path:1
00:03::36 [recv] set Path:1
00:03::36 [recv] set Path:1
00:03::36 [recv] set Path:1
00:03::37 [send] set path enable
00:03::37 [proc] plan: currentID:93
00:03::39 [proc] plan: currentID:98
00:03::40 [recv] set Path:1
00:03::40 [recv] set Path:1
00:03::40 [recv] set Path:1
00:03::40 [recv] set Path:1
00:03::40 [recv] set Path:1
00:03::40 [recv] set Path:1
00:03::40 [recv] set Path:1
00:03::40 [recv] set Path:1
00:03::40 [recv] set Path:1
00:03::40 [recv] set Path:1
00:03::41 [proc] plan: currentID:99
00:03::42 [send] set path enable
00:03::45 [proc] plan: currentID:101
00:03::51 [proc] plan: currentID:10
00:03::52 [recv] set Path:1
00:03::52 [recv] set Path:1
00:03::52 [recv] set Path:1
00:03::52 [recv] set Path:1
00:03::52 [recv] set Path:1
00:03::52 [recv] set Path:1
00:03::52 [recv] set Path:1
00:03::52 [recv] set Path:1
00:03::52 [recv] set Path:1
00:03::52 [recv] set Path:1
00:03::53 [send] set path enable
00:03::57 [proc] plan: currentID:101
00:03::57 [recv] set Path:1
00:03::57 [recv] set Path:1
00:03::57 [recv] set Path:1
00:03::57 [recv] set Path:1
00:03::57 [recv] set Path:1
00:03::57 [recv] set Path:1
00:03::57 [recv] set Path:1
00:03::57 [recv] set Path:1
00:03::57 [recv] set Path:1
00:03::57 [recv] set Path:1
00:03::58 [send] set path enable
00:04::00 [proc] plan: currentID:99
00:04::02 [proc] plan: currentID:98
00:04::03 [proc] plan: currentID:103
00:04::04 [recv] set Path:1
00:04::04 [recv] set Path:1
00:04::04 [recv] set Path:1
00:04::04 [recv] set Path:1
00:04::04 [recv] set Path:1
00:04::04 [recv] set Path:1
00:04::04 [recv] set Path:1
00:04::04 [recv] set Path:1
00:04::04 [recv] set Path:1
00:04::04 [recv] set Path:1
00:04::05 [send] set path enable
00:04::09 [proc] plan: currentID:106
00:04::09 [proc] plan: currentID:113
00:04::10 [recv] set Path:1
00:04::10 [recv] set Path:1
00:04::10 [recv] set Path:1
00:04::10 [recv] set Path:1
00:04::10 [recv] set Path:1
00:04::10 [recv] set Path:1
00:04::10 [recv] set Path:1
00:04::10 [recv] set Path:1
00:04::10 [recv] set Path:1
00:04::10 [recv] set Path:1
00:04::12 [send] set path enable
00:04::17 [proc] plan: currentID:114
