22:46::19 [init] AGV: 2 Online
22:46::19 [init] Mac: 02
22:46::19 [init] Power param: FullLimit=0,HighLimit=0,LowLimit=0
22:46::20 [recv] set Path:1
22:46::21 [send] set path enable
22:46::23 [proc] plan: currentID:58
22:46::23 [recv] set Path:1
22:46::25 [send] set path enable
22:46::26 [send] set path enable
22:46::27 [send] set path enable
22:46::28 [send] set path enable
22:46::29 [send] set path enable
22:46::30 [send] set path enable
22:46::31 [send] set path enable
22:46::32 [send] set path enable
22:46::33 [send] set path enable
22:46::34 [send] set path enable
22:46::35 [send] set path enable
22:46::36 [send] set path enable
22:46::37 [send] set path enable
22:46::38 [send] set path enable
22:46::40 [send] set path enable
22:46::41 [send] set path enable
22:46::42 [send] set path enable
22:46::43 [send] set path enable
22:46::44 [send] set path enable
22:46::45 [send] set path enable
22:46::46 [send] set path enable
22:46::47 [send] set path enable
22:46::48 [send] set path enable
22:46::49 [send] set path enable
22:46::50 [send] set path enable
22:46::51 [send] set path enable
22:46::52 [send] set path enable
22:46::53 [send] set path enable
22:46::54 [send] set path enable
22:46::55 [send] set path enable
22:46::56 [send] set path enable
22:46::58 [send] set path enable
22:46::59 [send] set path enable
22:47::00 [send] set path enable
22:47::01 [send] set path enable
22:47::02 [send] set path enable
22:47::03 [send] set path enable
22:47::04 [send] set path enable
22:47::05 [send] set path enable
22:47::06 [send] set path enable
22:47::07 [send] set path enable
22:47::08 [send] set path enable
22:47::09 [send] set path enable
22:47::10 [send] set path enable
22:47::11 [send] set path enable
22:47::12 [send] set path enable
22:47::13 [send] set path enable
22:47::15 [send] set path enable
22:47::16 [send] set path enable
22:47::17 [send] set path enable
22:47::18 [send] set path enable
22:47::19 [send] set path enable
22:47::20 [send] set path enable
22:47::21 [send] set path enable
22:47::22 [send] set path enable
22:47::23 [send] set path enable
22:47::24 [send] set path enable
22:47::25 [send] set path enable
22:47::26 [send] set path enable
22:47::27 [send] set path enable
22:47::28 [send] set path enable
22:47::29 [send] set path enable
22:47::30 [send] set path enable
22:47::31 [send] set path enable
22:47::33 [send] set path enable
22:47::34 [send] set path enable
22:47::35 [send] set path enable
22:47::36 [send] set path enable
22:47::37 [send] set path enable
22:47::38 [send] set path enable
22:47::39 [send] set path enable
22:47::40 [send] set path enable
22:47::41 [send] set path enable
22:47::42 [send] set path enable
22:47::43 [send] set path enable
22:47::44 [send] set path enable
22:47::45 [send] set path enable
22:47::46 [send] set path enable
22:47::47 [send] set path enable
22:47::48 [send] set path enable
22:47::50 [send] set path enable
22:47::51 [send] set path enable
22:47::52 [send] set path enable
22:47::53 [send] set path enable
22:47::54 [send] set path enable
22:47::55 [send] set path enable
22:47::56 [send] set path enable
22:47::57 [send] set path enable
22:47::58 [send] set path enable
22:47::59 [send] set path enable
22:48::00 [send] set path enable
22:48::01 [send] set path enable
22:48::02 [send] set path enable
22:48::03 [send] set path enable
22:48::04 [send] set path enable
22:48::05 [send] set path enable
22:48::06 [send] set path enable
22:48::08 [send] set path enable
22:48::09 [send] set path enable
22:48::10 [send] set path enable
22:48::11 [send] set path enable
22:48::12 [send] set path enable
22:48::13 [send] set path enable
22:48::14 [send] set path enable
22:48::15 [send] set path enable
22:48::16 [send] set path enable
22:48::17 [send] set path enable
22:48::18 [send] set path enable
22:48::19 [send] set path enable
22:48::20 [send] set path enable
22:48::21 [send] set path enable
22:48::22 [send] set path enable
22:48::23 [send] set path enable
22:48::25 [send] set path enable
22:48::26 [send] set path enable
22:48::27 [send] set path enable
22:48::28 [send] set path enable
22:48::29 [send] set path enable
