14:06::43 [init] AGV: 11 Online
14:06::43 [init] Mac: 11
14:06::43 [init] Power param: FullLimit=0,HighLimit=0,LowLimit=0
14:06::44 [recv] set Path:1
14:06::44 [recv] set Path:1
14:06::44 [recv] set Path:1
14:06::44 [recv] set Path:1
14:06::44 [recv] set Path:1
14:06::44 [recv] set Path:1
14:06::44 [recv] set Path:1
14:06::44 [recv] set Path:1
14:06::44 [recv] set Path:1
14:06::44 [recv] set Path:1
14:06::44 [recv] set Path:1
14:06::47 [recv] set Path:1
14:06::47 [recv] set Path:1
14:06::47 [recv] set Path:1
14:06::47 [recv] set Path:1
14:06::47 [recv] set Path:1
14:06::47 [recv] set Path:1
14:06::47 [recv] set Path:1
14:06::47 [recv] set Path:1
14:06::47 [recv] set Path:1
14:06::47 [recv] set Path:1
14:06::47 [recv] set Path:1
14:06::49 [send] set path enable
14:06::52 [recv] set Path:1
14:06::52 [recv] set Path:1
14:06::52 [recv] set Path:1
14:06::52 [recv] set Path:1
14:06::52 [recv] set Path:1
14:06::52 [recv] set Path:1
14:06::52 [recv] set Path:1
14:06::52 [recv] set Path:1
14:06::52 [recv] set Path:1
14:06::52 [recv] set Path:1
14:06::52 [recv] set Path:1
14:06::53 [send] set path enable
14:06::55 [recv] set Path:1
14:06::55 [recv] set Path:1
14:06::55 [recv] set Path:1
14:06::55 [recv] set Path:1
14:06::55 [recv] set Path:1
14:06::55 [recv] set Path:1
14:06::55 [recv] set Path:1
14:06::55 [recv] set Path:1
14:06::55 [recv] set Path:1
14:06::55 [recv] set Path:1
14:06::55 [recv] set Path:1
14:06::55 [send] set path enable
14:06::57 [recv] set Path:1
14:06::57 [recv] set Path:1
14:06::57 [recv] set Path:1
14:06::57 [recv] set Path:1
14:06::57 [recv] set Path:1
14:06::57 [recv] set Path:1
14:06::57 [recv] set Path:1
14:06::57 [recv] set Path:1
14:06::57 [recv] set Path:1
14:06::57 [recv] set Path:1
14:06::57 [recv] set Path:1
14:06::59 [send] set path enable
14:07::01 [recv] set Path:1
14:07::01 [recv] set Path:1
14:07::01 [recv] set Path:1
14:07::01 [recv] set Path:1
14:07::01 [recv] set Path:1
14:07::01 [recv] set Path:1
14:07::01 [recv] set Path:1
14:07::01 [recv] set Path:1
14:07::01 [recv] set Path:1
14:07::01 [recv] set Path:1
14:07::01 [recv] set Path:1
14:07::04 [send] set path enable
