14:06::38 [init] AGV: 10 Online
14:06::38 [init] Mac: 10
14:06::38 [init] Power param: FullLimit=0,HighLimit=0,LowLimit=0
14:06::39 [recv] set Path:1
14:06::39 [recv] set Path:1
14:06::39 [recv] set Path:1
14:06::39 [recv] set Path:1
14:06::39 [recv] set Path:1
14:06::39 [recv] set Path:1
14:06::39 [recv] set Path:1
14:06::39 [recv] set Path:1
14:06::39 [recv] set Path:1
14:06::39 [recv] set Path:1
14:06::41 [recv] set Path:1
14:06::41 [recv] set Path:1
14:06::41 [recv] set Path:1
14:06::41 [recv] set Path:1
14:06::41 [recv] set Path:1
14:06::41 [recv] set Path:1
14:06::41 [recv] set Path:1
14:06::41 [recv] set Path:1
14:06::41 [recv] set Path:1
14:06::41 [recv] set Path:1
14:06::48 [send] set path enable
14:06::50 [recv] set Path:1
14:06::50 [recv] set Path:1
14:06::50 [recv] set Path:1
14:06::50 [recv] set Path:1
14:06::50 [recv] set Path:1
14:06::50 [recv] set Path:1
14:06::50 [recv] set Path:1
14:06::50 [recv] set Path:1
14:06::50 [recv] set Path:1
14:06::50 [recv] set Path:1
14:06::50 [recv] set Path:1
14:06::51 [send] set path enable
14:06::56 [recv] set Path:1
14:06::56 [recv] set Path:1
14:06::56 [recv] set Path:1
14:06::56 [recv] set Path:1
14:06::56 [recv] set Path:1
14:06::56 [recv] set Path:1
14:06::56 [recv] set Path:1
14:06::56 [recv] set Path:1
14:06::56 [recv] set Path:1
14:06::56 [recv] set Path:1
14:06::56 [recv] set Path:1
14:06::57 [send] set path enable
14:06::58 [recv] set Path:1
14:06::58 [recv] set Path:1
14:06::58 [recv] set Path:1
14:06::58 [recv] set Path:1
14:06::58 [recv] set Path:1
14:06::58 [recv] set Path:1
14:06::58 [recv] set Path:1
14:06::58 [recv] set Path:1
14:06::58 [recv] set Path:1
14:06::58 [recv] set Path:1
14:06::58 [recv] set Path:1
14:07::00 [send] set path enable
14:07::01 [recv] set Path:1
14:07::01 [recv] set Path:1
14:07::01 [recv] set Path:1
14:07::01 [recv] set Path:1
14:07::01 [recv] set Path:1
14:07::01 [recv] set Path:1
14:07::01 [recv] set Path:1
14:07::01 [recv] set Path:1
14:07::01 [recv] set Path:1
14:07::01 [recv] set Path:1
14:07::01 [recv] set Path:1
14:07::02 [send] set path enable
14:07::03 [recv] set Path:1
14:07::03 [recv] set Path:1
14:07::03 [recv] set Path:1
14:07::03 [recv] set Path:1
14:07::03 [recv] set Path:1
14:07::03 [recv] set Path:1
14:07::03 [recv] set Path:1
14:07::03 [recv] set Path:1
14:07::03 [recv] set Path:1
14:07::03 [recv] set Path:1
14:07::03 [recv] set Path:1
14:07::03 [send] set path enable
14:07::05 [recv] set Path:1
14:07::05 [recv] set Path:1
14:07::05 [recv] set Path:1
14:07::05 [recv] set Path:1
14:07::05 [recv] set Path:1
14:07::05 [recv] set Path:1
14:07::05 [recv] set Path:1
14:07::05 [recv] set Path:1
14:07::05 [recv] set Path:1
14:07::05 [recv] set Path:1
14:07::05 [recv] set Path:1
14:07::06 [send] set path enable
14:07::15 [recv] set Path:1
14:07::15 [recv] set Path:1
14:07::15 [recv] set Path:1
14:07::15 [recv] set Path:1
14:07::15 [recv] set Path:1
14:07::15 [recv] set Path:1
14:07::15 [recv] set Path:1
14:07::15 [recv] set Path:1
14:07::15 [recv] set Path:1
14:07::15 [recv] set Path:1
14:07::15 [recv] set Path:1
14:07::23 [send] set path enable
14:07::25 [recv] set Path:1
14:07::25 [recv] set Path:1
14:07::25 [recv] set Path:1
14:07::25 [recv] set Path:1
14:07::25 [recv] set Path:1
14:07::25 [recv] set Path:1
14:07::25 [recv] set Path:1
14:07::25 [recv] set Path:1
14:07::25 [recv] set Path:1
14:07::25 [recv] set Path:1
14:07::25 [recv] set Path:1
14:07::26 [send] set path enable
14:07::31 [recv] set Path:1
14:07::31 [recv] set Path:1
14:07::31 [recv] set Path:1
14:07::31 [recv] set Path:1
14:07::31 [recv] set Path:1
14:07::31 [recv] set Path:1
14:07::31 [recv] set Path:1
14:07::31 [recv] set Path:1
14:07::31 [recv] set Path:1
14:07::31 [recv] set Path:1
14:07::31 [recv] set Path:1
14:07::33 [send] set path enable
14:07::34 [recv] set Path:1
14:07::34 [recv] set Path:1
14:07::34 [recv] set Path:1
14:07::34 [recv] set Path:1
14:07::34 [recv] set Path:1
14:07::34 [recv] set Path:1
14:07::34 [recv] set Path:1
14:07::34 [recv] set Path:1
14:07::34 [recv] set Path:1
14:07::34 [recv] set Path:1
14:07::34 [recv] set Path:1
14:07::35 [send] set path enable
14:07::37 [recv] set Path:1
14:07::37 [recv] set Path:1
14:07::37 [recv] set Path:1
14:07::37 [recv] set Path:1
14:07::37 [recv] set Path:1
14:07::37 [recv] set Path:1
14:07::37 [recv] set Path:1
14:07::37 [recv] set Path:1
14:07::37 [recv] set Path:1
14:07::37 [recv] set Path:1
14:07::37 [recv] set Path:1
14:07::37 [send] set path enable
14:07::46 [recv] set Path:1
14:07::46 [recv] set Path:1
14:07::46 [recv] set Path:1
14:07::46 [recv] set Path:1
14:07::46 [recv] set Path:1
14:07::46 [recv] set Path:1
14:07::46 [recv] set Path:1
14:07::46 [recv] set Path:1
14:07::46 [recv] set Path:1
14:07::46 [recv] set Path:1
14:07::46 [recv] set Path:1
14:07::47 [send] set path enable
14:07::49 [recv] set Path:1
14:07::49 [recv] set Path:1
14:07::49 [recv] set Path:1
14:07::49 [recv] set Path:1
14:07::49 [recv] set Path:1
14:07::49 [recv] set Path:1
14:07::49 [recv] set Path:1
14:07::49 [recv] set Path:1
14:07::49 [recv] set Path:1
14:07::49 [recv] set Path:1
14:07::49 [recv] set Path:1
14:07::50 [send] set path enable
