09:18::30 [init] AGV: 7 Online
09:18::30 [init] Mac: 07
09:18::30 [init] Power param: FullLimit=0,HighLimit=0,LowLimit=0
09:18::30 [send] get power cmd
09:18::33 [send]agv=7 set path command: mode=100 start=100 end=94 
09:18::33 [recv] set Path:1
09:18::33 [proc]agv=:7, match:100
09:18::34 [send] get power cmd
09:18::34 [send] set path enable
09:18::34 [recv] enable Path:1
09:18::35 [send] get power cmd
09:18::36 [send] get power cmd
09:18::38 [send] get power cmd
09:18::39 [send] get power cmd
09:18::40 [send] get power cmd
09:18::42 [send] get power cmd
09:18::43 [send] get power cmd
09:18::45 [send] get power cmd
09:18::46 [send] get power cmd
09:18::48 [send] get power cmd
09:18::49 [send] get power cmd
09:18::50 [proc] plan: currentID:94
09:18::50 [send] get power cmd
09:18::51 [send]agv=7 set path command: mode=100 start=94 end=100 
09:18::51 [recv] set Path:1
09:18::52 [send] get power cmd
09:18::53 [send] set path enable
09:18::53 [recv] enable Path:1
09:18::53 [send] get power cmd
09:18::55 [send] get power cmd
09:18::56 [send] get power cmd
09:18::58 [send] get power cmd
09:18::59 [send] get power cmd
09:19::00 [send] get power cmd
09:19::02 [send] get power cmd
09:19::03 [send] get power cmd
09:19::05 [send] get power cmd
09:19::06 [send] get power cmd
09:19::07 [send] get power cmd
09:19::08 [send] get power cmd
09:19::09 [send] get power cmd
09:19::10 [send] get power cmd
09:19::11 [send] get power cmd
09:19::13 [send] get power cmd
09:19::14 [send] get power cmd
09:19::15 [send] get power cmd
09:19::16 [send] get power cmd
09:19::17 [send] get power cmd
09:19::18 [send] get power cmd
09:19::19 [send] get power cmd
09:19::20 [send] get power cmd
09:19::21 [send] get power cmd
09:19::22 [send] get power cmd
09:19::23 [send] get power cmd
09:19::24 [send] get power cmd
09:19::25 [send] get power cmd
09:19::27 [send] get power cmd
09:19::28 [send] get power cmd
09:19::32 [send] get power cmd
09:19::33 [send] get power cmd
09:19::34 [send] get power cmd
09:19::35 [send] get power cmd
09:19::37 [send] get power cmd
09:19::38 [send] get power cmd
09:19::39 [send] get power cmd
09:19::41 [send] get power cmd
09:19::42 [send] get power cmd
09:19::43 [send] get power cmd
09:19::45 [send] get power cmd
09:19::46 [send] get power cmd
09:19::47 [send] get power cmd
09:19::49 [send] get power cmd
09:19::50 [send] get power cmd
09:19::51 [send] get power cmd
09:19::53 [send] get power cmd
09:19::54 [send] get power cmd
09:19::55 [send] get power cmd
09:19::56 [send] get power cmd
09:19::58 [send] get power cmd
09:19::59 [send] get power cmd
09:20::01 [send] get power cmd
09:20::02 [send] get power cmd
09:20::03 [send] get power cmd
09:20::05 [send] get power cmd
09:20::06 [send] get power cmd
09:20::07 [send] get power cmd
09:20::08 [send] get power cmd
09:20::10 [send] get power cmd
09:20::11 [send] get power cmd
09:20::12 [send] get power cmd
09:20::14 [send] get power cmd
09:20::15 [send] get power cmd
09:20::17 [send] get power cmd
09:20::18 [send] get power cmd
09:20::19 [send] get power cmd
09:20::21 [send] get power cmd
09:20::22 [send] get power cmd
09:20::23 [send] get power cmd
09:20::25 [send] get power cmd
09:20::26 [send] get power cmd
09:20::27 [send] get power cmd
09:20::29 [send] get power cmd
09:20::30 [send] get power cmd
09:20::31 [send] get power cmd
09:20::33 [send] get power cmd
09:20::34 [send] get power cmd
09:20::35 [send] get power cmd
09:20::37 [send] get power cmd
09:20::38 [send] get power cmd
09:20::40 [send] get power cmd
09:20::41 [send] get power cmd
09:20::42 [send] get power cmd
09:20::43 [send] get power cmd
09:20::45 [send] get power cmd
09:20::46 [send] get power cmd
09:20::47 [send] get power cmd
09:20::49 [send] get power cmd
09:20::50 [send] get power cmd
09:20::52 [send] get power cmd
09:20::53 [send] get power cmd
09:20::54 [send] get power cmd
09:20::55 [send] get power cmd
09:20::56 [send] get power cmd
