00:09::35 [init] AGV: 2 Online
00:09::35 [init] Mac: 02
00:09::35 [init] Power param: FullLimit=0,HighLimit=0,LowLimit=0
00:09::35 [send] get power cmd
00:09::36 [send] get power cmd
00:09::37 [send] get power cmd
00:09::38 [send] get power cmd
00:09::40 [send] get power cmd
00:09::41 [send] get power cmd
00:09::42 [send] get power cmd
00:09::43 [send] get power cmd
00:09::44 [send] get power cmd
00:09::45 [send] get power cmd
00:09::46 [send] get power cmd
00:09::47 [send] get power cmd
00:09::48 [send] get power cmd
00:09::49 [send] get power cmd
00:09::51 [send] get power cmd
00:09::52 [send] get power cmd
00:09::53 [send] get power cmd
00:09::54 [send] get power cmd
00:09::55 [send] get power cmd
00:09::56 [send] get power cmd
00:09::57 [send] get power cmd
00:09::59 [send] get power cmd
00:10::00 [send] get power cmd
00:10::01 [send] get power cmd
00:10::02 [send] get power cmd
00:10::03 [send] get power cmd
00:10::04 [send] get power cmd
00:10::06 [send] get power cmd
00:10::07 [send] get power cmd
00:10::08 [send] get power cmd
00:10::09 [send] get power cmd
00:10::10 [send] get power cmd
00:10::11 [send] get power cmd
00:10::12 [send] get power cmd
00:10::13 [send] get power cmd
00:10::14 [send] get power cmd
00:10::16 [send] get power cmd
00:10::17 [send] get power cmd
00:10::18 [send] get power cmd
00:10::19 [send] get power cmd
00:10::20 [send] get power cmd
00:10::21 [send] get power cmd
00:10::22 [send] get power cmd
00:10::23 [send] get power cmd
00:10::24 [send] get power cmd
00:10::25 [send] get power cmd
00:10::26 [send] get power cmd
00:10::27 [send] get power cmd
00:10::28 [send] get power cmd
00:10::29 [send] get power cmd
00:10::31 [send] get power cmd
00:10::32 [send] get power cmd
00:10::33 [send] get power cmd
00:10::34 [send] get power cmd
00:10::35 [send] get power cmd
00:10::36 [send] get power cmd
00:10::37 [send] get power cmd
00:10::38 [send] get power cmd
00:10::39 [send] get power cmd
00:10::40 [send] get power cmd
00:10::42 [send] get power cmd
00:10::43 [send] get power cmd
00:10::44 [send] get power cmd
00:10::45 [send] get power cmd
00:10::46 [send] get power cmd
00:10::47 [send] get power cmd
00:10::48 [send] get power cmd
00:10::49 [send] get power cmd
00:10::50 [send] get power cmd
00:10::51 [send] get power cmd
00:10::52 [send] get power cmd
00:10::53 [send] get power cmd
00:10::55 [send] get power cmd
00:10::56 [send] get power cmd
00:10::57 [send] get power cmd
00:10::58 [send] get power cmd
00:10::59 [send] get power cmd
