23:58::57 [init] AGV: 4 Online
23:58::57 [init] Mac: 04
23:58::57 [init] Power param: FullLimit=0,HighLimit=0,LowLimit=0
00:02::40 [recv] set Path:1
00:02::40 [recv] set Path:1
00:02::40 [recv] set Path:1
00:02::40 [recv] set Path:1
00:02::40 [recv] set Path:1
00:02::40 [recv] set Path:1
00:02::40 [recv] set Path:1
00:02::40 [recv] set Path:1
00:02::40 [recv] set Path:1
00:02::40 [recv] set Path:1
00:02::42 [send] set path enable
00:02::46 [proc] plan: currentID:7
00:02::46 [proc] plan: currentID:7
00:02::46 [proc] plan: currentID:7
00:02::46 [proc] plan: currentID:7
00:02::47 [recv] set Path:1
00:02::47 [recv] set Path:1
00:02::47 [recv] set Path:1
00:02::47 [recv] set Path:1
00:02::47 [recv] set Path:1
00:02::47 [recv] set Path:1
00:02::47 [recv] set Path:1
00:02::47 [recv] set Path:1
00:02::47 [recv] set Path:1
00:02::47 [recv] set Path:1
00:02::50 [send] set path enable
00:02::54 [proc] plan: currentID:83
00:02::55 [recv] set Path:1
00:02::55 [recv] set Path:1
00:02::55 [recv] set Path:1
00:02::55 [recv] set Path:1
00:02::55 [recv] set Path:1
00:02::55 [recv] set Path:1
00:02::55 [recv] set Path:1
00:02::55 [recv] set Path:1
00:02::55 [recv] set Path:1
00:02::55 [recv] set Path:1
00:02::57 [send] set path enable
00:02::57 [proc] plan: currentID:81
00:02::59 [proc] plan: currentID:80
00:02::59 [recv] set Path:1
00:02::59 [recv] set Path:1
00:02::59 [recv] set Path:1
00:02::59 [recv] set Path:1
00:02::59 [recv] set Path:1
00:02::59 [recv] set Path:1
00:02::59 [recv] set Path:1
00:02::59 [recv] set Path:1
00:02::59 [recv] set Path:1
00:02::59 [recv] set Path:1
00:03::00 [send] set path enable
00:03::01 [proc] plan: currentID:84
00:03::02 [proc] plan: currentID:88
00:03::02 [recv] set Path:1
00:03::02 [recv] set Path:1
00:03::02 [recv] set Path:1
00:03::02 [recv] set Path:1
00:03::02 [recv] set Path:1
00:03::02 [recv] set Path:1
00:03::02 [recv] set Path:1
00:03::02 [recv] set Path:1
00:03::02 [recv] set Path:1
00:03::02 [recv] set Path:1
00:03::03 [send] set path enable
00:03::04 [proc] plan: currentID:93
00:03::06 [proc] plan: currentID:98
00:03::06 [recv] set Path:1
00:03::06 [recv] set Path:1
00:03::06 [recv] set Path:1
00:03::06 [recv] set Path:1
00:03::06 [recv] set Path:1
00:03::06 [recv] set Path:1
00:03::06 [recv] set Path:1
00:03::06 [recv] set Path:1
00:03::06 [recv] set Path:1
00:03::06 [recv] set Path:1
00:03::08 [proc] plan: currentID:103
00:03::09 [send] set path enable
00:03::10 [proc] plan: currentID:102
00:03::16 [proc] plan: currentID:24
00:03::22 [recv] set Path:1
00:03::22 [recv] set Path:1
00:03::22 [recv] set Path:1
00:03::22 [recv] set Path:1
00:03::22 [recv] set Path:1
00:03::22 [recv] set Path:1
00:03::22 [recv] set Path:1
00:03::22 [recv] set Path:1
00:03::22 [recv] set Path:1
00:03::22 [recv] set Path:1
00:03::23 [send] set path enable
00:03::27 [proc] plan: currentID:102
00:03::28 [proc] plan: currentID:104
00:03::28 [recv] set Path:1
00:03::28 [recv] set Path:1
