21:28::25 [init] AGV: 8 Online
21:28::25 [init] Mac: 08
21:28::25 [init] Power param: FullLimit=0,HighLimit=0,LowLimit=0
21:28::30 [send] get power cmd
21:28::31 [send] get power cmd
21:28::32 [send] get power cmd
21:28::33 [send] get power cmd
21:28::38 [send] get power cmd
21:28::40 [send] get power cmd
21:28::41 [send] get power cmd
21:28::44 [send] get power cmd
21:28::47 [send] get power cmd
21:28::50 [send] get power cmd
21:28::51 [send] get power cmd
21:28::52 [send] get power cmd
21:28::53 [send] get power cmd
21:28::54 [send] get power cmd
21:28::54 [send] get power cmd
21:28::55 [send] get power cmd
21:28::56 [send] get power cmd
21:28::58 [send] get power cmd
21:28::59 [send] get power cmd
21:28::59 [send] get power cmd
21:29::01 [send] get power cmd
21:29::05 [send] get power cmd
21:29::06 [send] get power cmd
21:29::08 [send] get power cmd
21:29::09 [send] get power cmd
21:29::10 [send] get power cmd
21:29::12 [send] get power cmd
21:29::15 [send] get power cmd
21:29::21 [send] get power cmd
21:29::23 [send] get power cmd
21:29::25 [send] get power cmd
21:29::26 [send] get power cmd
21:29::29 [send] get power cmd
21:29::31 [send] get power cmd
21:29::33 [send] get power cmd
21:29::35 [send] get power cmd
21:29::37 [send] get power cmd
21:29::37 [send] get power cmd
21:29::49 [send] get power cmd
21:29::49 [send] get power cmd
21:29::55 [send] get power cmd
21:29::55 [send] get power cmd
21:30::05 [send] get power cmd
21:30::07 [send] get power cmd
21:30::09 [send] get power cmd
21:30::11 [send] get power cmd
21:30::12 [send] get power cmd
21:30::14 [send] get power cmd
21:30::17 [send] get power cmd
21:30::17 [send] get power cmd
21:30::19 [send] get power cmd
21:30::20 [send] get power cmd
21:30::21 [send] get power cmd
21:30::22 [send] get power cmd
21:30::24 [send] get power cmd
21:30::25 [send] get power cmd
21:30::26 [send] get power cmd
21:30::32 [send] get power cmd
21:30::33 [send] get power cmd
21:30::46 [send] get power cmd
21:30::48 [send] get power cmd
21:30::49 [send] get power cmd
21:30::50 [send] get power cmd
21:30::50 [send] get power cmd
21:30::50 [send] get power cmd
21:30::51 [send] get power cmd
21:30::52 [send] get power cmd
21:30::53 [send] get power cmd
21:31::02 [send] get power cmd
21:31::03 [send] get power cmd
21:31::07 [send] get power cmd
21:31::13 [send] get power cmd
21:31::14 [send] get power cmd
21:31::17 [send] get power cmd
21:31::20 [send] get power cmd
21:31::21 [send] get power cmd
21:31::24 [send] get power cmd
21:31::24 [send] get power cmd
21:31::25 [send] get power cmd
21:31::25 [send] get power cmd
21:31::25 [send] get power cmd
21:31::26 [send] get power cmd
21:31::27 [send] get power cmd
21:31::27 [send] get power cmd
21:31::28 [send] get power cmd
21:31::37 [send] get power cmd
21:31::37 [send] get power cmd
21:31::41 [send] get power cmd
21:31::42 [send] get power cmd
21:31::43 [send] get power cmd
21:31::43 [send] get power cmd
21:31::43 [send] get power cmd
21:31::44 [send] get power cmd
21:31::44 [send] get power cmd
21:31::45 [send] get power cmd
21:31::46 [send] get power cmd
21:31::46 [send] get power cmd
21:31::47 [send] get power cmd
21:31::49 [send] get power cmd
21:31::49 [send] get power cmd
21:31::49 [send] get power cmd
21:31::50 [send] get power cmd
21:31::50 [send] get power cmd
21:31::51 [send] get power cmd
21:31::52 [send] get power cmd
21:31::53 [send] get power cmd
21:31::57 [send] get power cmd
21:31::57 [send] get power cmd
21:31::58 [send] get power cmd
21:31::59 [send] get power cmd
21:31::59 [send] get power cmd
21:32::00 [send] get power cmd
21:32::01 [send] get power cmd
21:32::01 [send] get power cmd
21:32::02 [send] get power cmd
21:32::03 [send] get power cmd
21:32::03 [send] get power cmd
21:32::04 [send] get power cmd
21:32::05 [send] get power cmd
21:32::15 [send] get power cmd
21:32::17 [send] get power cmd
21:32::18 [send] get power cmd
21:32::20 [send] get power cmd
21:32::21 [send] get power cmd
21:32::29 [send] get power cmd
21:32::30 [send] get power cmd
21:32::31 [send] get power cmd
21:32::32 [send] get power cmd
21:32::33 [send] get power cmd
21:32::39 [send] get power cmd
21:32::40 [send] get power cmd
21:32::42 [send] get power cmd
21:32::44 [send] get power cmd
21:32::44 [send] get power cmd
21:32::45 [send] get power cmd
21:32::46 [send] get power cmd
21:32::47 [send] get power cmd
21:32::50 [send] get power cmd
21:32::52 [send] get power cmd
21:32::53 [send] get power cmd
21:32::59 [send] get power cmd
21:33::00 [send] get power cmd
21:33::03 [send] get power cmd
21:33::18 [send] get power cmd
21:33::20 [send] get power cmd
21:33::28 [send] get power cmd
21:33::36 [send] get power cmd
21:33::41 [send] get power cmd
21:33::42 [send] get power cmd
21:33::49 [send] get power cmd
21:33::52 [send] get power cmd
21:33::55 [send] get power cmd
21:33::58 [send] get power cmd
21:34::00 [send] get power cmd
21:34::01 [send] get power cmd
21:34::01 [send] get power cmd
21:34::02 [send] get power cmd
21:34::02 [send] get power cmd
21:34::05 [send] get power cmd
21:34::09 [send] get power cmd
21:34::10 [send] get power cmd
21:34::10 [send] get power cmd
21:34::11 [send] get power cmd
21:34::11 [send] get power cmd
21:34::13 [send] get power cmd
21:34::15 [send] get power cmd
21:34::15 [send] get power cmd
21:34::15 [send] get power cmd
21:34::17 [send] get power cmd
21:34::17 [send] get power cmd
21:34::19 [send] get power cmd
21:34::20 [send] get power cmd
21:34::22 [send] get power cmd
21:34::22 [send] get power cmd
21:34::24 [send] get power cmd
21:34::24 [send] get power cmd
21:34::26 [send] get power cmd
21:34::28 [send] get power cmd
21:34::30 [send] get power cmd
21:34::33 [send] get power cmd
21:34::35 [send] get power cmd
21:34::38 [send] get power cmd
21:34::38 [send] get power cmd
21:34::38 [send] get power cmd
21:34::40 [send] get power cmd
21:34::40 [send] get power cmd
21:34::41 [send] get power cmd
21:34::42 [send] get power cmd
21:34::43 [send] get power cmd
21:34::48 [send] get power cmd
21:34::53 [send] get power cmd
21:34::55 [send] get power cmd
21:34::56 [send] get power cmd
21:35::01 [send] get power cmd
21:35::03 [send] get power cmd
21:35::08 [send] get power cmd
21:35::08 [send] get power cmd
21:35::10 [send] get power cmd
21:35::14 [send] get power cmd
21:35::16 [send] get power cmd
21:35::19 [send] get power cmd
21:35::20 [send] get power cmd
21:35::28 [send] get power cmd
21:35::30 [send] get power cmd
21:35::31 [send] get power cmd
21:35::34 [send] get power cmd
21:35::35 [send] get power cmd
21:35::40 [send] get power cmd
21:35::42 [send] get power cmd
21:35::42 [send] get power cmd
21:35::44 [send] get power cmd
21:35::49 [send] get power cmd
21:35::50 [send] get power cmd
21:35::52 [send] get power cmd
21:35::53 [send] get power cmd
21:35::57 [send] get power cmd
21:36::01 [send] get power cmd
21:36::02 [send] get power cmd
21:36::03 [send] get power cmd
21:36::03 [send] get power cmd
21:36::04 [send] get power cmd
21:36::04 [send] get power cmd
21:36::09 [send] get power cmd
21:36::12 [send] get power cmd
21:36::12 [send] get power cmd
21:36::14 [send] get power cmd
21:36::15 [send] get power cmd
21:36::16 [send] get power cmd
21:36::17 [send] get power cmd
21:36::18 [send] get power cmd
21:36::19 [send] get power cmd
21:36::21 [send] get power cmd
21:36::22 [send] get power cmd
21:36::23 [send] get power cmd
21:36::24 [send] get power cmd
21:36::25 [send] get power cmd
