10:23::37 [init] AGV: 3 Online
10:23::37 [init] Mac: 1234567809
10:23::37 [init] Power param: FullLimit=0,HighLimit=0,LowLimit=0
10:23::37 [recv] state= 0 0 0 0
10:23::37 [proc] match:-1
10:23::37 [recv] pos:(4913,16949,0)
10:23::37 [send] set path command: mode=100 start=50 end=51 
10:23::37 [recv] set Path:1
10:23::37 [recv] pos:(4913,16949,0)
10:23::37 [send] set path enable
10:23::38 [send] set path enable
10:23::39 [send] set path enable
10:23::39 [send] set path enable
10:23::40 [send] set path enable
10:23::40 [send] set path enable
10:23::41 [send] set path enable
10:23::41 [send] set path enable
10:23::42 [send] set path enable
10:23::42 [send] set path enable
10:23::42 [send] set path enable
10:23::43 [send] set path enable
10:23::43 [send] set path enable
10:23::44 [send] set path enable
10:23::45 [send] set path enable
10:23::45 [send] set path enable
10:23::46 [send] set path enable
10:23::46 [send] set path enable
10:23::47 [send] set path enable
10:23::47 [send] set path enable
10:23::48 [send] set path enable
10:23::48 [send] set path enable
10:23::49 [send] set path enable
10:23::49 [send] set path enable
10:23::50 [send] set path enable
10:23::50 [send] set path enable
10:23::51 [send] set path enable
10:23::51 [send] set path enable
10:23::52 [send] set path enable
10:23::53 [send] set path enable
10:23::53 [send] set path enable
10:23::54 [send] set path enable
10:23::54 [send] set path enable
10:23::55 [send] set path enable
10:23::55 [send] set path enable
10:23::56 [send] set path enable
10:23::56 [send] set path enable
10:23::57 [send] set path enable
10:23::57 [send] set path enable
10:23::58 [send] set path enable
10:23::59 [send] set path enable
10:23::59 [send] set path enable
10:24::00 [send] set path enable
10:24::00 [send] set path enable
10:24::01 [send] set path enable
10:24::01 [send] set path enable
10:24::02 [send] set path enable
10:24::02 [send] set path enable
10:24::03 [send] set path enable
10:24::03 [send] set path enable
10:24::04 [send] set path enable
10:24::04 [send] set path enable
10:24::05 [send] set path enable
10:24::05 [send] set path enable
10:24::06 [send] set path enable
10:24::07 [send] set path enable
10:24::07 [send] set path enable
10:24::08 [send] set path enable
10:24::08 [send] set path enable
10:24::09 [send] set path enable
10:24::09 [send] set path enable
10:24::10 [send] set path enable
10:24::10 [send] set path enable
10:24::11 [send] set path enable
10:24::11 [send] set path enable
10:24::12 [send] set path enable
10:24::12 [send] set path enable
10:24::13 [send] set path enable
10:24::13 [send] set path enable
10:24::14 [send] set path enable
10:24::14 [send] set path enable
10:24::15 [send] set path enable
10:24::16 [send] set path enable
10:24::16 [send] set path enable
10:24::17 [send] set path enable
10:24::17 [send] set path enable
10:24::18 [send] set path enable
10:24::18 [send] set path enable
10:24::19 [send] set path enable
10:24::19 [send] set path enable
10:24::20 [send] set path enable
10:24::20 [send] set path enable
10:24::21 [send] set path enable
10:24::21 [send] set path enable
10:24::22 [send] set path enable
10:24::22 [send] set path enable
10:24::23 [send] set path enable
10:24::24 [send] set path enable
10:24::24 [send] set path enable
10:24::25 [send] set path enable
10:24::25 [send] set path enable
10:24::26 [send] set path enable
10:24::26 [send] set path enable
10:24::27 [send] set path enable
10:24::27 [send] set path enable
10:24::28 [send] set path enable
10:24::28 [send] set path enable
10:24::29 [send] set path enable
10:24::29 [send] set path enable
10:24::30 [send] set path enable
10:24::30 [send] set path enable
10:24::31 [send] set path enable
10:24::31 [send] set path enable
10:24::32 [send] set path enable
10:24::33 [send] set path enable
10:24::33 [send] set path enable
10:24::34 [send] set path enable
10:24::34 [send] set path enable
10:24::35 [send] set path enable
10:24::35 [send] set path enable
10:24::36 [send] set path enable
10:24::36 [send] set path enable
10:24::37 [send] set path enable
10:24::37 [send] set path enable
10:24::38 [send] set path enable
10:24::38 [send] set path enable
10:24::39 [recv] pos:(4913,16949,0)
10:24::39 [send] set path enable
10:24::39 [send] set path enable
10:24::40 [send] set path enable
10:24::40 [send] set path enable
10:24::41 [send] set path enable
10:24::41 [send] set path enable
10:24::42 [send] set path enable
10:24::42 [send] set path enable
10:24::43 [send] set path enable
10:24::43 [send] set path enable
10:24::44 [send] set path enable
10:24::45 [send] set path enable
10:24::45 [send] set path enable
10:24::46 [send] set path enable
10:24::46 [send] set path enable
10:24::47 [send] set path enable
10:24::47 [send] set path enable
10:24::48 [send] set path enable
10:24::48 [send] set path enable
10:24::49 [send] set path enable
10:24::49 [send] set path enable
10:24::50 [send] set path enable
10:24::50 [send] set path enable
10:24::51 [send] set path enable
10:24::51 [send] set path enable
10:24::52 [send] set path enable
10:24::52 [send] set path enable
10:24::53 [send] set path enable
10:24::54 [send] set path enable
10:24::54 [send] set path enable
10:24::55 [send] set path enable
10:24::55 [recv] pos:(4913,16949,0)
10:24::55 [send] set path enable
10:24::56 [send] set path enable
10:24::56 [send] set path enable
10:24::57 [send] set path enable
10:24::57 [send] set path enable
10:24::58 [send] set path enable
10:24::58 [send] set path enable
10:24::59 [send] set path enable
10:24::59 [send] set path enable
10:25::00 [send] set path enable
10:25::00 [send] set path enable
10:25::01 [send] set path enable
10:25::02 [send] set path enable
10:25::02 [send] set path enable
10:25::03 [send] set path enable
