17:47::31 [init] AGV: 1 Online
17:47::31 [init] Mac: 01
17:47::31 [init] Power param: FullLimit=0,HighLimit=0,LowLimit=0
17:47::32 [recv] set Path:1
17:47::33 [send] set path enable
17:47::34 [send] set path enable
17:47::35 [send] set path enable
17:47::36 [send] set path enable
17:47::37 [send] set path enable
17:47::38 [send] set path enable
17:47::39 [send] set path enable
17:47::40 [send] set path enable
17:47::41 [send] set path enable
17:47::43 [send] set path enable
17:47::44 [send] set path enable
17:47::45 [send] set path enable
17:47::46 [send] set path enable
17:47::47 [send] set path enable
17:47::48 [send] set path enable
17:47::49 [send] set path enable
17:47::50 [send] set path enable
17:47::51 [send] set path enable
17:47::52 [send] set path enable
17:47::53 [send] set path enable
17:47::54 [send] set path enable
17:47::55 [send] set path enable
17:47::56 [send] set path enable
17:47::57 [send] set path enable
17:47::58 [send] set path enable
17:48::00 [send] set path enable
17:48::01 [send] set path enable
17:48::02 [send] set path enable
17:48::03 [send] set path enable
17:48::04 [send] set path enable
17:48::05 [send] set path enable
17:48::06 [send] set path enable
17:48::07 [send] set path enable
17:48::08 [send] set path enable
17:48::09 [send] set path enable
17:48::10 [send] set path enable
17:48::11 [send] set path enable
17:48::12 [send] set path enable
17:48::13 [send] set path enable
17:48::14 [send] set path enable
17:48::15 [send] set path enable
17:48::16 [send] set path enable
17:48::18 [send] set path enable
17:48::19 [send] set path enable
17:48::20 [send] set path enable
17:48::21 [send] set path enable
17:48::22 [send] set path enable
17:48::23 [send] set path enable
17:48::24 [send] set path enable
17:48::25 [send] set path enable
17:48::26 [send] set path enable
17:48::27 [send] set path enable
17:48::28 [send] set path enable
17:48::29 [send] set path enable
17:48::30 [send] set path enable
17:48::31 [send] set path enable
17:48::32 [send] set path enable
17:48::33 [send] set path enable
17:48::35 [send] set path enable
17:48::36 [send] set path enable
17:48::37 [send] set path enable
17:48::38 [send] set path enable
17:48::39 [send] set path enable
17:48::40 [send] set path enable
17:48::41 [send] set path enable
17:48::42 [send] set path enable
17:48::43 [send] set path enable
17:48::44 [send] set path enable
17:48::45 [send] set path enable
17:48::46 [send] set path enable
17:48::47 [send] set path enable
17:48::48 [send] set path enable
17:48::49 [send] set path enable
17:48::50 [send] set path enable
17:48::51 [send] set path enable
17:48::53 [send] set path enable
17:48::54 [send] set path enable
17:48::55 [send] set path enable
17:48::56 [send] set path enable
17:48::57 [send] set path enable
17:48::58 [send] set path enable
17:48::59 [send] set path enable
17:49::00 [send] set path enable
17:49::01 [send] set path enable
17:49::02 [send] set path enable
17:49::03 [send] set path enable
17:49::04 [send] set path enable
17:49::05 [send] set path enable
17:49::06 [send] set path enable
17:49::07 [send] set path enable
17:49::08 [send] set path enable
17:49::10 [send] set path enable
17:49::11 [send] set path enable
17:49::12 [send] set path enable
17:49::13 [send] set path enable
17:49::14 [send] set path enable
17:49::15 [send] set path enable
17:49::16 [send] set path enable
17:49::17 [send] set path enable
17:49::18 [send] set path enable
17:49::19 [send] set path enable
17:49::20 [send] set path enable
17:49::21 [send] set path enable
17:49::22 [send] set path enable
17:49::23 [send] set path enable
17:49::24 [send] set path enable
17:49::25 [send] set path enable
17:49::27 [send] set path enable
17:49::28 [send] set path enable
17:49::29 [send] set path enable
17:49::30 [send] set path enable
17:49::31 [send] set path enable
17:49::32 [send] set path enable
17:49::33 [send] set path enable
17:49::34 [send] set path enable
17:49::35 [send] set path enable
17:49::36 [send] set path enable
17:49::37 [send] set path enable
17:49::38 [send] set path enable
17:49::39 [send] set path enable
17:49::40 [send] set path enable
17:49::41 [send] set path enable
17:49::42 [send] set path enable
17:49::43 [send] set path enable
17:49::45 [send] set path enable
17:49::46 [send] set path enable
17:49::47 [send] set path enable
17:49::48 [send] set path enable
17:49::49 [send] set path enable
17:49::50 [send] set path enable
17:49::51 [send] set path enable
17:49::52 [send] set path enable
17:49::53 [send] set path enable
17:49::54 [send] set path enable
17:49::55 [send] set path enable
17:49::56 [send] set path enable
17:49::57 [send] set path enable
17:49::58 [send] set path enable
17:49::59 [send] set path enable
17:50::00 [send] set path enable
17:50::02 [send] set path enable
17:50::03 [send] set path enable
17:50::04 [send] set path enable
17:50::05 [send] set path enable
