16:28::08 [init] AGV: 1 Online
16:28::08 [init] Mac: 01
16:28::08 [init] Power param: FullLimit=0,HighLimit=0,LowLimit=0
16:28::09 [recv] set Path:1
16:28::11 [recv] set Path:1
16:28::12 [send] set path enable
16:28::13 [send] set path enable
16:28::14 [send] set path enable
16:28::15 [send] set path enable
16:28::16 [send] set path enable
16:28::17 [send] set path enable
16:28::18 [send] set path enable
16:28::19 [send] set path enable
16:28::20 [send] set path enable
16:28::21 [send] set path enable
16:28::22 [send] set path enable
16:28::24 [send] set path enable
16:28::25 [send] set path enable
16:28::26 [send] set path enable
16:28::27 [send] set path enable
16:28::28 [send] set path enable
16:28::29 [send] set path enable
16:28::30 [send] set path enable
16:28::31 [send] set path enable
16:28::32 [send] set path enable
16:28::33 [send] set path enable
16:28::34 [send] set path enable
16:28::35 [send] set path enable
16:28::36 [send] set path enable
16:28::37 [send] set path enable
16:28::38 [send] set path enable
16:28::39 [send] set path enable
16:28::41 [send] set path enable
16:28::42 [send] set path enable
