21:50::34 [init] AGV: 1 Online
21:50::34 [init] Mac: 1234567809
21:50::34 [init] Power param: FullLimit=0,HighLimit=0,LowLimit=0
21:51::46 [recv] pos:(5079,13961,0)
21:51::47 [recv] pos:(5079,13961,0)
21:51::47 [recv] pos:(5079,13961,0)
21:51::48 [recv] pos:(5079,13961,0)
21:51::48 [recv] pos:(5079,13961,0)
21:51::49 [recv] pos:(5079,13961,0)
21:51::49 [recv] pos:(5079,13961,0)
21:51::50 [recv] pos:(5079,13961,0)
21:51::50 [recv] pos:(5079,13961,0)
21:51::51 [recv] pos:(5079,13961,0)
21:51::51 [recv] pos:(5079,13961,0)
21:51::52 [recv] pos:(5079,13961,0)
21:51::52 [recv] pos:(5079,13961,0)
21:51::53 [recv] pos:(5079,13961,0)
21:51::53 [recv] pos:(5079,13961,0)
21:51::54 [recv] pos:(5079,13961,0)
21:51::54 [recv] pos:(5079,13961,0)
21:51::55 [recv] pos:(5079,13961,0)
21:51::56 [recv] pos:(5079,13961,0)
21:51::56 [recv] pos:(5079,13961,0)
21:51::57 [recv] pos:(5079,13961,0)
21:51::57 [recv] pos:(5079,13961,0)
21:51::58 [recv] pos:(5079,13961,0)
21:51::58 [recv] pos:(5079,13961,0)
21:51::59 [recv] pos:(5079,13961,0)
21:51::59 [recv] pos:(5079,13961,0)
21:52::00 [recv] pos:(5079,13961,0)
21:52::00 [recv] pos:(5079,13961,0)
21:52::01 [recv] pos:(5079,13961,0)
21:52::01 [recv] pos:(5079,13961,0)
21:52::02 [recv] pos:(5079,13961,0)
21:52::02 [recv] pos:(5079,13961,0)
21:52::03 [recv] pos:(5079,13961,0)
21:52::04 [recv] pos:(5079,13961,0)
21:52::04 [recv] pos:(5079,13961,0)
21:52::05 [recv] pos:(5079,13961,0)
21:52::05 [recv] pos:(5079,13961,0)
21:52::06 [recv] pos:(5079,13961,0)
21:52::06 [recv] pos:(5079,13961,0)
21:52::07 [recv] pos:(5079,13961,0)
21:52::07 [recv] pos:(5079,13961,0)
21:52::08 [recv] pos:(5079,13961,0)
21:52::08 [recv] pos:(5079,13961,0)
21:52::09 [recv] pos:(5079,13961,0)
21:52::09 [recv] pos:(5079,13961,0)
21:52::10 [recv] pos:(5079,13961,0)
21:52::10 [recv] pos:(5079,13961,0)
21:52::11 [recv] pos:(5079,13961,0)
21:52::11 [recv] pos:(5079,13961,0)
21:52::12 [recv] pos:(5079,13961,0)
21:52::13 [recv] pos:(5079,13961,0)
21:52::13 [recv] pos:(5079,13961,0)
21:52::14 [recv] pos:(5079,13961,0)
21:52::14 [recv] pos:(5079,13961,0)
21:52::15 [recv] pos:(5079,13961,0)
21:52::15 [recv] pos:(5079,13961,0)
21:52::16 [recv] pos:(5079,13961,0)
21:52::16 [recv] pos:(5079,13961,0)
21:52::17 [recv] pos:(5079,13961,0)
21:52::17 [recv] pos:(5079,13961,0)
21:52::18 [recv] pos:(5079,13961,0)
21:52::18 [recv] pos:(5079,13961,0)
21:52::19 [recv] pos:(5079,13961,0)
21:52::19 [recv] pos:(5079,13961,0)
21:52::20 [recv] pos:(5079,13961,0)
21:52::21 [recv] pos:(5079,13961,0)
21:52::21 [recv] pos:(5079,13961,0)
21:52::22 [recv] pos:(5079,13961,0)
21:52::22 [recv] pos:(5079,13961,0)
21:52::23 [recv] pos:(5079,13961,0)
21:52::23 [recv] pos:(5079,13961,0)
21:52::24 [recv] pos:(5079,13961,0)
21:52::24 [recv] pos:(5079,13961,0)
21:52::25 [recv] pos:(5079,13961,0)
21:52::25 [recv] pos:(5079,13961,0)
21:52::26 [recv] pos:(5079,13961,0)
21:52::26 [recv] pos:(5079,13961,0)
21:52::27 [recv] pos:(5079,13961,0)
21:52::27 [recv] pos:(5079,13961,0)
21:52::28 [recv] pos:(5079,13961,0)
21:52::28 [recv] pos:(5079,13961,0)
21:52::29 [recv] pos:(5079,13961,0)
21:52::30 [recv] pos:(5079,13961,0)
21:52::30 [recv] pos:(5079,13961,0)
21:52::31 [recv] pos:(5079,13961,0)
21:52::31 [recv] pos:(5079,13961,0)
21:52::32 [recv] pos:(5079,13961,0)
21:52::32 [recv] pos:(5079,13961,0)
21:52::33 [recv] pos:(5079,13961,0)
21:52::33 [recv] pos:(5079,13961,0)
21:52::34 [recv] pos:(5079,13961,0)
21:52::35 [recv] pos:(5079,13961,0)
21:52::35 [recv] pos:(5079,13961,0)
21:52::36 [recv] pos:(5079,13961,0)
21:52::36 [recv] pos:(5079,13961,0)
21:52::37 [recv] pos:(5079,13961,0)
21:52::37 [recv] pos:(5079,13961,0)
21:52::38 [recv] pos:(5079,13961,0)
21:52::38 [recv] pos:(5079,13961,0)
21:52::39 [recv] pos:(5079,13961,0)
21:52::39 [recv] pos:(5079,13961,0)
21:52::40 [recv] pos:(5079,13961,0)
21:52::40 [recv] pos:(5079,13961,0)
21:52::41 [recv] pos:(5079,13961,0)
21:52::41 [recv] pos:(5079,13961,0)
21:52::42 [recv] pos:(5079,13961,0)
21:52::42 [recv] pos:(5079,13961,0)
21:52::43 [recv] pos:(5079,13961,0)
21:52::44 [recv] pos:(5079,13961,0)
21:52::44 [recv] pos:(5079,13961,0)
21:52::45 [recv] pos:(5079,13961,0)
21:52::45 [recv] pos:(5079,13961,0)
21:52::46 [recv] pos:(5079,13961,0)
21:52::46 [recv] pos:(5079,13961,0)
21:52::47 [recv] pos:(5079,13961,0)
21:52::47 [recv] pos:(5079,13961,0)
21:52::48 [recv] pos:(5079,13961,0)
21:52::48 [recv] pos:(5079,13961,0)
21:52::49 [recv] pos:(5079,13961,0)
21:52::49 [recv] pos:(5079,13961,0)
21:52::50 [recv] pos:(5079,13961,0)
21:52::50 [recv] pos:(5079,13961,0)
21:52::51 [recv] pos:(5079,13961,0)
21:52::52 [recv] pos:(5079,13961,0)
21:52::52 [recv] pos:(5079,13961,0)
21:52::53 [recv] pos:(5079,13961,0)
21:52::53 [recv] pos:(5079,13961,0)
21:52::54 [recv] pos:(5079,13961,0)
21:52::54 [recv] pos:(5079,13961,0)
21:52::55 [recv] pos:(5079,13961,0)
21:52::55 [recv] pos:(5079,13961,0)
21:52::56 [recv] pos:(5079,13961,0)
21:52::56 [recv] pos:(5079,13961,0)
21:52::57 [recv] pos:(5079,13961,0)
21:52::57 [recv] pos:(5079,13961,0)
21:52::58 [recv] pos:(5079,13961,0)
21:52::58 [recv] pos:(5079,13961,0)
21:52::59 [recv] pos:(5079,13961,0)
21:52::59 [recv] pos:(5079,13961,0)
21:53::00 [recv] pos:(5079,13961,0)
21:53::01 [recv] pos:(5079,13961,0)
21:53::01 [recv] pos:(5079,13961,0)
21:53::02 [recv] pos:(5079,13961,0)
21:53::02 [recv] pos:(5079,13961,0)
21:53::03 [recv] pos:(5079,13961,0)
21:53::03 [recv] pos:(5079,13961,0)
21:53::04 [recv] pos:(5079,13961,0)
21:53::04 [recv] pos:(5079,13961,0)
21:53::05 [recv] pos:(5079,13961,0)
21:53::05 [recv] pos:(5079,13961,0)
21:53::06 [recv] pos:(5079,13961,0)
21:53::06 [recv] pos:(5079,13961,0)
21:53::07 [recv] pos:(5079,13961,0)
21:53::07 [recv] pos:(5079,13961,0)
21:53::08 [recv] pos:(5079,13961,0)
21:53::09 [recv] pos:(5079,13961,0)
21:53::09 [recv] pos:(5079,13961,0)
21:53::10 [recv] pos:(5079,13961,0)
21:53::10 [recv] pos:(5079,13961,0)
21:53::11 [recv] pos:(5079,13961,0)
21:53::11 [recv] pos:(5079,13961,0)
21:53::12 [recv] pos:(5079,13961,0)
21:53::12 [recv] pos:(5079,13961,0)
21:53::13 [recv] pos:(5079,13961,0)
21:53::13 [recv] pos:(5079,13961,0)
21:53::14 [recv] pos:(5079,13961,0)
21:53::14 [recv] pos:(5079,13961,0)
21:53::15 [recv] pos:(5079,13961,0)
21:53::15 [recv] pos:(5079,13961,0)
21:53::16 [recv] pos:(5079,13961,0)
21:53::16 [recv] pos:(5079,13961,0)
21:53::17 [recv] pos:(5079,13961,0)
21:53::18 [recv] pos:(5079,13961,0)
21:53::18 [recv] pos:(5079,13961,0)
21:53::19 [recv] pos:(5079,13961,0)
21:53::19 [recv] pos:(5079,13961,0)
21:53::20 [recv] pos:(5079,13961,0)
21:53::20 [recv] pos:(5079,13961,0)
21:53::21 [recv] pos:(5079,13961,0)
21:53::21 [recv] pos:(5079,13961,0)
21:53::22 [recv] pos:(5079,13961,0)
21:53::22 [recv] pos:(5079,13961,0)
21:53::23 [recv] pos:(5079,13961,0)
21:53::23 [recv] pos:(5079,13961,0)
21:53::24 [recv] pos:(5079,13961,0)
21:53::24 [recv] pos:(5079,13961,0)
21:53::25 [recv] pos:(5079,13961,0)
21:53::26 [recv] pos:(5079,13961,0)
21:53::26 [recv] pos:(5079,13961,0)
21:53::27 [recv] pos:(5079,13961,0)
21:53::27 [recv] pos:(5079,13961,0)
21:53::28 [recv] pos:(5079,13961,0)
21:53::28 [recv] pos:(5079,13961,0)
21:53::29 [recv] pos:(5079,13961,0)
21:53::29 [recv] pos:(5079,13961,0)
