08:56::55 [init] AGV: 1 Online
08:56::55 [init] Mac: 01
08:56::55 [init] Power param: FullLimit=0,HighLimit=0,LowLimit=0
08:56::57 [recv] set Path:1
08:57::10 [recv] set Path:1
08:57::17 [recv] set Path:1
08:57::26 [recv] set Path:1
08:57::33 [recv] set Path:1
08:57::46 [recv] set Path:1
08:57::55 [recv] set Path:1
08:58::03 [recv] set Path:1
08:58::12 [recv] set Path:1
08:58::20 [recv] set Path:1
08:58::29 [recv] set Path:1
08:58::36 [recv] set Path:1
08:58::46 [recv] set Path:1
08:58::56 [recv] set Path:1
08:59::14 [recv] set Path:1
08:59::21 [recv] set Path:1
08:59::38 [recv] set Path:1
08:59::46 [recv] set Path:1
08:59::55 [recv] set Path:1
09:00::03 [recv] set Path:1
09:00::11 [recv] set Path:1
