23:59::25 [init] AGV: 7 Online
23:59::25 [init] Mac: 07
23:59::25 [init] Power param: FullLimit=0,HighLimit=0,LowLimit=0
00:02::56 [recv] set Path:1
00:02::56 [recv] set Path:1
00:02::56 [recv] set Path:1
00:02::56 [recv] set Path:1
00:02::56 [recv] set Path:1
00:02::56 [recv] set Path:1
00:02::56 [recv] set Path:1
00:02::56 [recv] set Path:1
00:02::56 [recv] set Path:1
00:02::56 [recv] set Path:1
00:02::57 [send] set path enable
00:02::59 [proc] plan: currentID:116
00:02::59 [recv] set Path:1
00:02::59 [recv] set Path:1
00:02::59 [recv] set Path:1
00:02::59 [recv] set Path:1
00:02::59 [recv] set Path:1
00:02::59 [recv] set Path:1
00:02::59 [recv] set Path:1
00:02::59 [recv] set Path:1
00:02::59 [recv] set Path:1
00:02::59 [recv] set Path:1
00:03::00 [send] set path enable
00:03::01 [proc] plan: currentID:110
00:03::02 [proc] plan: currentID:108
00:03::02 [recv] set Path:1
00:03::02 [recv] set Path:1
00:03::02 [recv] set Path:1
00:03::02 [recv] set Path:1
00:03::02 [recv] set Path:1
00:03::02 [recv] set Path:1
00:03::02 [recv] set Path:1
00:03::02 [recv] set Path:1
00:03::02 [recv] set Path:1
00:03::02 [recv] set Path:1
00:03::03 [send] set path enable
00:03::04 [proc] plan: currentID:105
00:03::06 [proc] plan: currentID:100
00:03::06 [recv] set Path:1
00:03::06 [recv] set Path:1
00:03::06 [recv] set Path:1
00:03::06 [recv] set Path:1
00:03::06 [recv] set Path:1
00:03::06 [recv] set Path:1
00:03::06 [recv] set Path:1
00:03::06 [recv] set Path:1
00:03::06 [recv] set Path:1
00:03::06 [recv] set Path:1
00:03::08 [proc] plan: currentID:96
00:03::09 [send] set path enable
00:03::11 [proc] plan: currentID:91
00:03::11 [recv] set Path:1
00:03::11 [recv] set Path:1
00:03::11 [recv] set Path:1
00:03::11 [recv] set Path:1
00:03::11 [recv] set Path:1
00:03::11 [recv] set Path:1
00:03::11 [recv] set Path:1
00:03::11 [recv] set Path:1
00:03::11 [recv] set Path:1
00:03::11 [recv] set Path:1
00:03::12 [proc] plan: currentID:86
00:03::12 [send] set path enable
00:03::18 [proc] plan: currentID:82
00:03::21 [proc] plan: currentID:79
00:03::22 [recv] set Path:1
00:03::22 [recv] set Path:1
00:03::22 [recv] set Path:1
00:03::22 [recv] set Path:1
00:03::22 [recv] set Path:1
00:03::22 [recv] set Path:1
00:03::22 [recv] set Path:1
00:03::22 [recv] set Path:1
00:03::22 [recv] set Path:1
00:03::22 [recv] set Path:1
00:03::24 [send] set path enable
00:03::27 [proc] plan: currentID:74
00:03::27 [recv] set Path:1
00:03::27 [recv] set Path:1
00:03::27 [recv] set Path:1
00:03::27 [recv] set Path:1
00:03::27 [recv] set Path:1
00:03::27 [recv] set Path:1
00:03::27 [recv] set Path:1
00:03::27 [recv] set Path:1
00:03::27 [recv] set Path:1
00:03::27 [recv] set Path:1
00:03::28 [proc] plan: currentID:73
00:03::29 [send] set path enable
00:03::30 [proc] plan: currentID:72
00:03::30 [recv] set Path:1
00:03::30 [recv] set Path:1
00:03::30 [recv] set Path:1
00:03::30 [recv] set Path:1
00:03::30 [recv] set Path:1
00:03::30 [recv] set Path:1
00:03::30 [recv] set Path:1
00:03::30 [recv] set Path:1
00:03::30 [recv] set Path:1
00:03::30 [recv] set Path:1
00:03::31 [send] set path enable
00:03::32 [proc] plan: currentID:70
00:03::34 [proc] plan: currentID:21
00:03::34 [proc] plan: currentID:21
00:03::34 [proc] plan: currentID:21
00:03::34 [proc] plan: currentID:21
00:03::34 [recv] set Path:1
00:03::34 [recv] set Path:1
00:03::34 [recv] set Path:1
00:03::34 [recv] set Path:1
00:03::34 [recv] set Path:1
00:03::34 [recv] set Path:1
00:03::34 [recv] set Path:1
00:03::34 [recv] set Path:1
00:03::34 [recv] set Path:1
00:03::34 [recv] set Path:1
00:03::35 [send] set path enable
00:03::37 [proc] plan: currentID:70
00:03::37 [recv] set Path:1
00:03::37 [recv] set Path:1
00:03::37 [recv] set Path:1
00:03::37 [recv] set Path:1
00:03::37 [recv] set Path:1
00:03::37 [recv] set Path:1
00:03::37 [recv] set Path:1
00:03::37 [recv] set Path:1
00:03::37 [recv] set Path:1
00:03::37 [recv] set Path:1
00:03::38 [send] set path enable
00:03::39 [proc] plan: currentID:72
00:03::40 [proc] plan: currentID:73
00:03::40 [recv] set Path:1
00:03::40 [recv] set Path:1
00:03::40 [recv] set Path:1
00:03::40 [recv] set Path:1
00:03::40 [recv] set Path:1
00:03::40 [recv] set Path:1
00:03::40 [recv] set Path:1
00:03::40 [recv] set Path:1
00:03::40 [recv] set Path:1
00:03::40 [recv] set Path:1
00:03::41 [send] set path enable
00:03::42 [proc] plan: currentID:75
00:03::46 [proc] plan: currentID:6
00:03::46 [proc] plan: currentID:6
00:03::46 [proc] plan: currentID:6
00:03::48 [proc] plan: currentID:6
00:03::51 [recv] set Path:1
