20:08::18 [init] AGV: 1 Online
20:08::18 [init] Mac: 01
20:08::18 [init] Power param: FullLimit=0,HighLimit=0,LowLimit=0
20:08::21 [recv] set Path:1
20:08::21 [send] set path enable
20:08::22 [send] set path enable
20:08::23 [send] set path enable
20:08::24 [send] set path enable
20:08::25 [send] set path enable
20:08::27 [send] set path enable
20:08::28 [send] set path enable
20:08::29 [send] set path enable
20:08::30 [send] set path enable
20:08::31 [send] set path enable
20:08::32 [send] set path enable
20:08::33 [send] set path enable
20:08::34 [send] set path enable
20:08::35 [send] set path enable
20:08::36 [send] set path enable
20:08::37 [send] set path enable
20:08::38 [send] set path enable
20:08::39 [send] set path enable
20:08::40 [send] set path enable
20:08::41 [send] set path enable
20:08::42 [send] set path enable
20:08::44 [send] set path enable
20:08::45 [send] set path enable
20:08::46 [send] set path enable
20:08::47 [send] set path enable
20:08::48 [send] set path enable
20:08::49 [send] set path enable
20:08::50 [send] set path enable
20:08::51 [send] set path enable
20:08::52 [send] set path enable
20:08::53 [send] set path enable
20:08::54 [send] set path enable
20:08::55 [send] set path enable
20:08::56 [send] set path enable
20:08::57 [send] set path enable
20:08::58 [send] set path enable
20:09::00 [send] set path enable
20:09::01 [send] set path enable
20:09::02 [send] set path enable
20:09::03 [send] set path enable
20:09::04 [send] set path enable
20:09::05 [send] set path enable
20:09::06 [send] set path enable
20:09::07 [send] set path enable
20:09::08 [send] set path enable
20:09::09 [send] set path enable
20:09::10 [send] set path enable
20:09::11 [send] set path enable
20:09::12 [send] set path enable
20:09::13 [send] set path enable
