19:34::25 [init] AGV: 9 Online
19:34::25 [init] Mac: 09
19:34::25 [init] Power param: FullLimit=0,HighLimit=0,LowLimit=0
19:34::26 [recv] set Path:1
19:34::26 [recv] set Path:1
19:34::26 [recv] set Path:1
19:34::26 [recv] set Path:1
19:34::26 [recv] set Path:1
19:34::26 [recv] set Path:1
19:34::26 [recv] set Path:1
19:34::26 [recv] set Path:1
19:34::26 [recv] set Path:1
19:34::33 [recv] set Path:1
19:34::33 [recv] set Path:1
19:34::33 [recv] set Path:1
19:34::33 [recv] set Path:1
19:34::33 [recv] set Path:1
19:34::33 [recv] set Path:1
19:34::33 [recv] set Path:1
19:34::33 [recv] set Path:1
19:34::33 [recv] set Path:1
19:34::33 [recv] set Path:1
19:34::34 [send] set path enable
19:34::37 [recv] set Path:1
19:34::37 [recv] set Path:1
19:34::37 [recv] set Path:1
19:34::37 [recv] set Path:1
19:34::37 [recv] set Path:1
19:34::37 [recv] set Path:1
19:34::37 [recv] set Path:1
19:34::37 [recv] set Path:1
19:34::37 [recv] set Path:1
19:34::37 [recv] set Path:1
19:34::40 [send] set path enable
19:34::42 [recv] set Path:1
19:34::42 [recv] set Path:1
19:34::42 [recv] set Path:1
19:34::42 [recv] set Path:1
19:34::42 [recv] set Path:1
19:34::42 [recv] set Path:1
19:34::42 [recv] set Path:1
19:34::42 [recv] set Path:1
19:34::42 [recv] set Path:1
19:34::42 [recv] set Path:1
19:34::45 [send] set path enable
19:34::45 [recv] set Path:1
19:34::45 [recv] set Path:1
19:34::45 [recv] set Path:1
19:34::45 [recv] set Path:1
19:34::45 [recv] set Path:1
19:34::45 [recv] set Path:1
19:34::45 [recv] set Path:1
19:34::45 [recv] set Path:1
19:34::45 [recv] set Path:1
19:34::45 [recv] set Path:1
19:34::46 [send] set path enable
19:34::52 [recv] set Path:1
19:34::52 [recv] set Path:1
19:34::52 [recv] set Path:1
19:34::52 [recv] set Path:1
19:34::52 [recv] set Path:1
19:34::52 [recv] set Path:1
19:34::52 [recv] set Path:1
19:34::52 [recv] set Path:1
19:34::52 [recv] set Path:1
19:34::52 [recv] set Path:1
19:34::53 [send] set path enable
19:34::56 [recv] set Path:1
19:34::56 [recv] set Path:1
19:34::56 [recv] set Path:1
19:34::56 [recv] set Path:1
19:34::56 [recv] set Path:1
19:34::56 [recv] set Path:1
19:34::56 [recv] set Path:1
19:34::56 [recv] set Path:1
19:34::56 [recv] set Path:1
19:34::56 [recv] set Path:1
19:34::58 [send] set path enable
19:35::02 [recv] set Path:1
19:35::02 [recv] set Path:1
19:35::02 [recv] set Path:1
19:35::02 [recv] set Path:1
19:35::02 [recv] set Path:1
19:35::02 [recv] set Path:1
19:35::02 [recv] set Path:1
19:35::02 [recv] set Path:1
19:35::02 [recv] set Path:1
19:35::02 [recv] set Path:1
19:35::02 [send] set path enable
19:35::08 [recv] set Path:1
19:35::08 [recv] set Path:1
19:35::08 [recv] set Path:1
19:35::08 [recv] set Path:1
19:35::08 [recv] set Path:1
19:35::08 [recv] set Path:1
19:35::08 [recv] set Path:1
19:35::08 [recv] set Path:1
19:35::08 [recv] set Path:1
19:35::08 [recv] set Path:1
19:35::10 [send] set path enable
19:35::13 [recv] set Path:1
19:35::13 [recv] set Path:1
19:35::13 [recv] set Path:1
19:35::13 [recv] set Path:1
19:35::13 [recv] set Path:1
19:35::13 [recv] set Path:1
19:35::13 [recv] set Path:1
19:35::13 [recv] set Path:1
19:35::13 [recv] set Path:1
19:35::13 [recv] set Path:1
19:35::17 [send] set path enable
19:35::22 [recv] set Path:1
19:35::22 [recv] set Path:1
19:35::22 [recv] set Path:1
19:35::22 [recv] set Path:1
19:35::22 [recv] set Path:1
19:35::22 [recv] set Path:1
19:35::22 [recv] set Path:1
19:35::22 [recv] set Path:1
19:35::22 [recv] set Path:1
19:35::22 [recv] set Path:1
19:35::28 [send] set path enable
19:35::29 [recv] set Path:1
19:35::29 [recv] set Path:1
19:35::29 [recv] set Path:1
19:35::29 [recv] set Path:1
19:35::29 [recv] set Path:1
19:35::29 [recv] set Path:1
19:35::29 [recv] set Path:1
19:35::29 [recv] set Path:1
19:35::29 [recv] set Path:1
19:35::29 [recv] set Path:1
19:35::33 [send] set path enable
19:35::34 [recv] set Path:1
19:35::34 [recv] set Path:1
19:35::34 [recv] set Path:1
19:35::34 [recv] set Path:1
19:35::34 [recv] set Path:1
19:35::34 [recv] set Path:1
19:35::34 [recv] set Path:1
19:35::34 [recv] set Path:1
19:35::34 [recv] set Path:1
19:35::34 [recv] set Path:1
19:35::38 [send] set path enable
19:35::43 [recv] set Path:1
19:35::43 [recv] set Path:1
19:35::43 [recv] set Path:1
19:35::43 [recv] set Path:1
19:35::43 [recv] set Path:1
19:35::43 [recv] set Path:1
19:35::43 [recv] set Path:1
19:35::43 [recv] set Path:1
19:35::43 [recv] set Path:1
19:35::43 [recv] set Path:1
19:35::45 [send] set path enable
19:35::48 [recv] set Path:1
19:35::48 [recv] set Path:1
19:35::48 [recv] set Path:1
19:35::48 [recv] set Path:1
19:35::48 [recv] set Path:1
19:35::48 [recv] set Path:1
19:35::48 [recv] set Path:1
19:35::48 [recv] set Path:1
19:35::48 [recv] set Path:1
19:35::48 [recv] set Path:1
19:35::49 [send] set path enable
19:35::53 [recv] set Path:1
19:35::53 [recv] set Path:1
19:35::53 [recv] set Path:1
19:35::53 [recv] set Path:1
19:35::53 [recv] set Path:1
19:35::53 [recv] set Path:1
19:35::53 [recv] set Path:1
19:35::53 [recv] set Path:1
19:35::53 [recv] set Path:1
19:35::53 [recv] set Path:1
19:35::54 [send] set path enable
19:35::56 [recv] set Path:1
19:35::56 [recv] set Path:1
19:35::56 [recv] set Path:1
19:35::56 [recv] set Path:1
19:35::56 [recv] set Path:1
19:35::56 [recv] set Path:1
19:35::56 [recv] set Path:1
19:35::56 [recv] set Path:1
19:35::56 [recv] set Path:1
19:35::56 [recv] set Path:1
19:35::57 [send] set path enable
19:36::00 [recv] set Path:1
19:36::00 [recv] set Path:1
19:36::00 [recv] set Path:1
19:36::00 [recv] set Path:1
19:36::00 [recv] set Path:1
19:36::00 [recv] set Path:1
19:36::00 [recv] set Path:1
19:36::00 [recv] set Path:1
19:36::00 [recv] set Path:1
19:36::00 [recv] set Path:1
19:36::01 [send] set path enable
19:36::06 [recv] set Path:1
19:36::06 [recv] set Path:1
19:36::06 [recv] set Path:1
19:36::06 [recv] set Path:1
19:36::06 [recv] set Path:1
19:36::06 [recv] set Path:1
19:36::06 [recv] set Path:1
19:36::06 [recv] set Path:1
19:36::06 [recv] set Path:1
19:36::06 [recv] set Path:1
19:36::12 [send] set path enable
19:36::13 [recv] set Path:1
19:36::13 [recv] set Path:1
19:36::13 [recv] set Path:1
19:36::13 [recv] set Path:1
19:36::13 [recv] set Path:1
19:36::13 [recv] set Path:1
19:36::13 [recv] set Path:1
19:36::13 [recv] set Path:1
19:36::13 [recv] set Path:1
19:36::13 [recv] set Path:1
19:36::18 [send] set path enable
19:36::22 [recv] set Path:1
19:36::22 [recv] set Path:1
19:36::22 [recv] set Path:1
19:36::22 [recv] set Path:1
