14:06::25 [init] AGV: 7 Online
14:06::25 [init] Mac: 07
14:06::25 [init] Power param: FullLimit=0,HighLimit=0,LowLimit=0
14:06::27 [recv] set Path:1
14:06::27 [recv] set Path:1
14:06::27 [recv] set Path:1
14:06::27 [recv] set Path:1
14:06::27 [recv] set Path:1
14:06::27 [recv] set Path:1
14:06::27 [recv] set Path:1
14:06::28 [recv] set Path:1
14:06::28 [recv] set Path:1
14:06::28 [recv] set Path:1
14:06::28 [recv] set Path:1
14:06::28 [recv] set Path:1
14:06::28 [recv] set Path:1
14:06::28 [recv] set Path:1
14:06::30 [send] set path enable
14:06::34 [recv] set Path:1
14:06::34 [recv] set Path:1
14:06::34 [recv] set Path:1
14:06::34 [recv] set Path:1
14:06::34 [recv] set Path:1
14:06::34 [recv] set Path:1
14:06::34 [recv] set Path:1
14:06::34 [recv] set Path:1
14:06::34 [recv] set Path:1
14:06::36 [send] set path enable
14:06::40 [recv] set Path:1
14:06::40 [recv] set Path:1
14:06::40 [recv] set Path:1
14:06::40 [recv] set Path:1
14:06::40 [recv] set Path:1
14:06::40 [recv] set Path:1
14:06::40 [recv] set Path:1
14:06::40 [recv] set Path:1
14:06::40 [recv] set Path:1
14:06::40 [recv] set Path:1
14:06::41 [send] set path enable
14:06::45 [recv] set Path:1
14:06::45 [recv] set Path:1
14:06::45 [recv] set Path:1
14:06::45 [recv] set Path:1
14:06::45 [recv] set Path:1
14:06::45 [recv] set Path:1
14:06::45 [recv] set Path:1
14:06::45 [recv] set Path:1
14:06::45 [recv] set Path:1
14:06::45 [recv] set Path:1
14:06::45 [recv] set Path:1
14:06::48 [send] set path enable
14:06::49 [recv] set Path:1
14:06::49 [recv] set Path:1
14:06::49 [recv] set Path:1
14:06::49 [recv] set Path:1
14:06::49 [recv] set Path:1
14:06::49 [recv] set Path:1
14:06::49 [recv] set Path:1
14:06::49 [recv] set Path:1
14:06::49 [recv] set Path:1
14:06::49 [recv] set Path:1
14:06::49 [recv] set Path:1
14:06::50 [send] set path enable
14:06::51 [recv] set Path:1
14:06::51 [recv] set Path:1
14:06::51 [recv] set Path:1
14:06::51 [recv] set Path:1
14:06::51 [recv] set Path:1
14:06::51 [recv] set Path:1
14:06::51 [recv] set Path:1
14:06::51 [recv] set Path:1
14:06::51 [recv] set Path:1
14:06::51 [recv] set Path:1
14:06::51 [recv] set Path:1
14:06::52 [send] set path enable
14:06::55 [recv] set Path:1
14:06::55 [recv] set Path:1
14:06::55 [recv] set Path:1
14:06::55 [recv] set Path:1
14:06::55 [recv] set Path:1
14:06::55 [recv] set Path:1
14:06::55 [recv] set Path:1
14:06::55 [recv] set Path:1
14:06::55 [recv] set Path:1
14:06::55 [recv] set Path:1
14:06::55 [recv] set Path:1
14:06::56 [send] set path enable
14:06::59 [recv] set Path:1
14:06::59 [recv] set Path:1
14:06::59 [recv] set Path:1
14:06::59 [recv] set Path:1
14:06::59 [recv] set Path:1
14:06::59 [recv] set Path:1
14:06::59 [recv] set Path:1
14:06::59 [recv] set Path:1
14:06::59 [recv] set Path:1
14:06::59 [recv] set Path:1
14:06::59 [recv] set Path:1
14:07::01 [send] set path enable
14:07::04 [recv] set Path:1
14:07::04 [recv] set Path:1
14:07::04 [recv] set Path:1
14:07::04 [recv] set Path:1
14:07::04 [recv] set Path:1
14:07::04 [recv] set Path:1
14:07::04 [recv] set Path:1
14:07::04 [recv] set Path:1
14:07::04 [recv] set Path:1
14:07::04 [recv] set Path:1
14:07::04 [recv] set Path:1
14:07::05 [send] set path enable
14:07::14 [recv] set Path:1
14:07::14 [recv] set Path:1
14:07::14 [recv] set Path:1
14:07::14 [recv] set Path:1
14:07::14 [recv] set Path:1
14:07::14 [recv] set Path:1
14:07::14 [recv] set Path:1
14:07::14 [recv] set Path:1
14:07::14 [recv] set Path:1
14:07::14 [recv] set Path:1
14:07::14 [recv] set Path:1
14:07::15 [send] set path enable
14:07::25 [recv] set Path:1
14:07::25 [recv] set Path:1
14:07::25 [recv] set Path:1
14:07::25 [recv] set Path:1
14:07::25 [recv] set Path:1
14:07::25 [recv] set Path:1
14:07::25 [recv] set Path:1
14:07::25 [recv] set Path:1
14:07::25 [recv] set Path:1
14:07::25 [recv] set Path:1
14:07::25 [recv] set Path:1
14:07::26 [send] set path enable
14:07::27 [recv] set Path:1
14:07::27 [recv] set Path:1
14:07::27 [recv] set Path:1
14:07::27 [recv] set Path:1
14:07::27 [recv] set Path:1
14:07::27 [recv] set Path:1
14:07::27 [recv] set Path:1
14:07::27 [recv] set Path:1
14:07::27 [recv] set Path:1
14:07::27 [recv] set Path:1
14:07::27 [recv] set Path:1
14:07::28 [send] set path enable
14:07::30 [recv] set Path:1
14:07::30 [recv] set Path:1
14:07::30 [recv] set Path:1
14:07::30 [recv] set Path:1
14:07::30 [recv] set Path:1
14:07::30 [recv] set Path:1
14:07::30 [recv] set Path:1
