09:25::49 [init] AGV: 7 Online
09:25::49 [init] Mac: 07
09:25::49 [init] Power param: FullLimit=0,HighLimit=0,LowLimit=0
09:25::50 [send] get power cmd
09:25::53 [send]agv=7 set path command: mode=100 start=100 end=96 
09:25::53 [recv] set Path:1
09:25::53 [proc]agv=:7, match:100
09:25::53 [send] get power cmd
09:25::54 [send] set path enable
09:25::54 [recv] enable Path:1
09:25::55 [send] get power cmd
09:25::56 [send] get power cmd
09:25::57 [send] get power cmd
09:25::59 [send] get power cmd
09:26::00 [send] get power cmd
09:26::02 [send] get power cmd
09:26::03 [send] get power cmd
09:26::04 [send] get power cmd
09:26::07 [send] get power cmd
09:26::08 [send] get power cmd
09:26::09 [send] get power cmd
09:26::10 [send] get power cmd
09:26::11 [send] get power cmd
09:26::13 [send] get power cmd
09:26::14 [send] get power cmd
09:26::15 [send] get power cmd
09:26::16 [send] get power cmd
09:26::17 [send] get power cmd
09:26::18 [send] get power cmd
09:26::19 [send] get power cmd
09:26::20 [send] get power cmd
09:26::21 [send] get power cmd
09:26::22 [send] get power cmd
09:26::23 [send] get power cmd
09:26::24 [send] get power cmd
09:26::25 [send] get power cmd
09:26::26 [send] get power cmd
09:26::27 [send] get power cmd
09:26::28 [send] get power cmd
09:26::30 [send] get power cmd
09:26::31 [send] get power cmd
09:26::32 [send] get power cmd
09:26::33 [send] get power cmd
09:26::34 [send] get power cmd
09:26::35 [send] get power cmd
09:26::36 [send] get power cmd
09:26::37 [send] get power cmd
09:26::38 [send] get power cmd
09:26::39 [send] get power cmd
09:26::40 [send] get power cmd
09:26::41 [send] get power cmd
09:26::42 [send] get power cmd
09:26::43 [send] get power cmd
09:26::44 [send] get power cmd
09:26::45 [send] get power cmd
09:26::47 [send] get power cmd
09:26::48 [send] get power cmd
09:26::49 [send] get power cmd
09:26::50 [send] get power cmd
09:26::51 [send] get power cmd
09:26::52 [send] get power cmd
09:26::53 [send] get power cmd
09:26::54 [send] get power cmd
09:26::55 [send] get power cmd
09:26::56 [send] get power cmd
09:26::57 [send] get power cmd
09:26::58 [send] get power cmd
09:26::59 [send] get power cmd
09:27::00 [send] get power cmd
09:27::01 [send] get power cmd
09:27::02 [send] get power cmd
09:27::04 [send] get power cmd
09:27::05 [send] get power cmd
09:27::06 [send] get power cmd
09:27::07 [send] get power cmd
09:27::08 [send] get power cmd
09:27::09 [send] get power cmd
09:27::10 [send] get power cmd
09:27::11 [send] get power cmd
09:27::12 [send] get power cmd
09:27::13 [send] get power cmd
09:27::14 [send] get power cmd
09:27::15 [send] get power cmd
09:27::16 [send] get power cmd
09:27::17 [send] get power cmd
09:27::18 [send] get power cmd
