19:41::21 [init] AGV: 8 Online
19:41::21 [init] Mac: 08
19:41::21 [init] Power param: FullLimit=0,HighLimit=0,LowLimit=0
19:41::32 [send] get power cmd
19:41::39 [send] get power cmd
19:41::45 [send] get power cmd
19:41::46 [send] get power cmd
19:41::46 [send] get power cmd
19:41::48 [send] get power cmd
19:41::49 [send] get power cmd
19:41::53 [send] get power cmd
19:41::56 [send] get power cmd
19:41::58 [send] get power cmd
19:42::07 [send] get power cmd
19:42::18 [send] get power cmd
19:42::19 [send] get power cmd
19:42::20 [send] get power cmd
19:42::23 [send] get power cmd
19:42::23 [send] get power cmd
19:42::24 [send] get power cmd
19:42::25 [send] get power cmd
19:42::26 [send] get power cmd
19:42::36 [send] get power cmd
19:42::41 [send] get power cmd
19:42::42 [send] get power cmd
19:42::51 [send] get power cmd
19:42::52 [send] get power cmd
19:42::53 [send] get power cmd
19:42::53 [send] get power cmd
19:43::04 [send] get power cmd
19:43::07 [send] get power cmd
19:43::07 [send] get power cmd
19:43::13 [send] get power cmd
19:43::16 [send] get power cmd
19:43::17 [send] get power cmd
19:43::18 [send] get power cmd
19:43::19 [send] get power cmd
19:43::28 [send] get power cmd
19:43::30 [send] get power cmd
19:43::32 [send] get power cmd
19:43::38 [send] get power cmd
19:43::43 [send] get power cmd
19:44::02 [send] get power cmd
19:44::20 [send] get power cmd
19:44::28 [send] get power cmd
19:44::40 [send] get power cmd
19:44::41 [send] get power cmd
19:44::53 [send] get power cmd
19:44::57 [send] get power cmd
19:44::58 [send] get power cmd
19:45::13 [send] get power cmd
19:45::14 [send] get power cmd
19:45::19 [send] get power cmd
19:45::22 [send] get power cmd
19:45::28 [send] get power cmd
19:45::28 [send] get power cmd
19:45::29 [send] get power cmd
19:45::38 [send] get power cmd
19:45::50 [send] get power cmd
19:46::00 [send] get power cmd
19:46::01 [send] get power cmd
19:46::26 [send] get power cmd
19:46::34 [send] get power cmd
19:46::41 [send] get power cmd
19:46::41 [send] get power cmd
19:46::54 [send] get power cmd
19:46::59 [send] get power cmd
19:47::05 [send] get power cmd
19:47::08 [send] get power cmd
19:47::19 [send] get power cmd
19:47::39 [send] get power cmd
19:47::43 [send] get power cmd
19:47::47 [send] get power cmd
19:47::49 [send] get power cmd
19:47::51 [send] get power cmd
19:47::54 [send] get power cmd
19:47::57 [send] get power cmd
19:48::26 [send] get power cmd
19:48::35 [send] get power cmd
19:48::37 [send] get power cmd
19:48::38 [send] get power cmd
19:48::38 [send] get power cmd
19:48::44 [send] get power cmd
19:48::52 [send] get power cmd
19:49::04 [send] get power cmd
19:49::06 [send] get power cmd
19:49::10 [send] get power cmd
19:49::17 [send] get power cmd
19:49::22 [send] get power cmd
19:49::42 [send] get power cmd
19:49::59 [send] get power cmd
19:50::02 [send] get power cmd
