15:41::55 [init] AGV: 1 Online
15:41::55 [init] Mac: 01
15:41::55 [init] Power param: FullLimit=0,HighLimit=0,LowLimit=0
15:41::55 [send] get power cmd
15:41::56 [send] get power cmd
15:41::58 [send] get power cmd
15:41::59 [send] get power cmd
15:42::00 [send] get power cmd
15:42::01 [send] get power cmd
15:42::02 [send] get power cmd
15:42::03 [send] get power cmd
15:42::05 [send] get power cmd
15:42::06 [send] get power cmd
15:42::07 [send] get power cmd
15:42::08 [send] get power cmd
15:42::09 [send] get power cmd
15:42::10 [send] get power cmd
