16:07::18 [init] AGV: 1 Online
16:07::18 [init] Mac: 01
16:07::18 [init] Power param: FullLimit=0,HighLimit=0,LowLimit=0
16:07::19 [recv] set Path:1
16:07::20 [send] set path enable
16:07::21 [send] set path enable
16:07::22 [send] set path enable
16:07::23 [send] set path enable
16:07::24 [send] set path enable
16:07::25 [send] set path enable
16:07::26 [send] set path enable
16:07::27 [send] set path enable
16:07::28 [send] set path enable
16:07::29 [send] set path enable
16:07::30 [send] set path enable
16:07::31 [send] set path enable
16:07::32 [send] set path enable
16:07::33 [send] set path enable
16:07::35 [send] set path enable
16:07::36 [send] set path enable
16:07::37 [send] set path enable
16:07::38 [send] set path enable
16:07::39 [send] set path enable
16:07::40 [send] set path enable
16:07::41 [send] set path enable
16:07::42 [send] set path enable
16:07::43 [send] set path enable
16:07::44 [send] set path enable
16:07::45 [send] set path enable
16:07::46 [send] set path enable
16:07::47 [send] set path enable
16:07::48 [send] set path enable
16:07::49 [send] set path enable
16:07::50 [send] set path enable
16:07::52 [send] set path enable
16:07::53 [send] set path enable
16:07::54 [send] set path enable
16:07::55 [send] set path enable
16:07::56 [send] set path enable
16:07::57 [send] set path enable
16:07::58 [send] set path enable
16:07::59 [send] set path enable
16:08::00 [send] set path enable
16:08::01 [send] set path enable
16:08::02 [send] set path enable
16:08::03 [send] set path enable
16:08::04 [send] set path enable
16:08::05 [send] set path enable
16:08::06 [send] set path enable
16:08::07 [send] set path enable
16:08::09 [send] set path enable
16:08::10 [send] set path enable
16:08::11 [send] set path enable
16:08::12 [send] set path enable
16:08::13 [send] set path enable
16:08::14 [send] set path enable
16:08::15 [send] set path enable
16:08::16 [send] set path enable
16:08::17 [send] set path enable
16:08::18 [send] set path enable
16:08::19 [send] set path enable
16:08::20 [send] set path enable
16:08::21 [send] set path enable
16:08::22 [send] set path enable
16:08::23 [send] set path enable
