19:34::22 [init] AGV: 8 Online
19:34::22 [init] Mac: 08
19:34::22 [init] Power param: FullLimit=0,HighLimit=0,LowLimit=0
19:34::23 [recv] set Path:1
19:34::23 [recv] set Path:1
19:34::23 [recv] set Path:1
19:34::23 [recv] set Path:1
19:34::23 [recv] set Path:1
19:34::23 [recv] set Path:1
19:34::23 [recv] set Path:1
19:34::23 [recv] set Path:1
19:34::26 [recv] set Path:1
19:34::26 [recv] set Path:1
19:34::26 [recv] set Path:1
19:34::26 [recv] set Path:1
19:34::26 [recv] set Path:1
19:34::26 [recv] set Path:1
19:34::26 [recv] set Path:1
19:34::26 [recv] set Path:1
19:34::26 [recv] set Path:1
19:34::27 [send] set path enable
19:34::34 [recv] set Path:1
19:34::34 [recv] set Path:1
19:34::34 [recv] set Path:1
19:34::34 [recv] set Path:1
19:34::34 [recv] set Path:1
19:34::34 [recv] set Path:1
19:34::34 [recv] set Path:1
19:34::34 [recv] set Path:1
19:34::34 [recv] set Path:1
19:34::34 [recv] set Path:1
19:34::34 [send] set path enable
19:34::36 [recv] set Path:1
19:34::36 [recv] set Path:1
19:34::36 [recv] set Path:1
19:34::36 [recv] set Path:1
19:34::36 [recv] set Path:1
19:34::36 [recv] set Path:1
19:34::36 [recv] set Path:1
19:34::36 [recv] set Path:1
19:34::36 [recv] set Path:1
19:34::36 [recv] set Path:1
19:34::37 [send] set path enable
19:34::40 [recv] set Path:1
19:34::40 [recv] set Path:1
19:34::40 [recv] set Path:1
19:34::40 [recv] set Path:1
19:34::40 [recv] set Path:1
19:34::40 [recv] set Path:1
19:34::40 [recv] set Path:1
19:34::40 [recv] set Path:1
19:34::40 [recv] set Path:1
19:34::40 [recv] set Path:1
19:34::40 [send] set path enable
19:34::46 [recv] set Path:1
19:34::46 [recv] set Path:1
19:34::46 [recv] set Path:1
19:34::46 [recv] set Path:1
19:34::46 [recv] set Path:1
19:34::46 [recv] set Path:1
19:34::46 [recv] set Path:1
19:34::46 [recv] set Path:1
19:34::46 [recv] set Path:1
19:34::46 [recv] set Path:1
19:34::46 [send] set path enable
19:34::52 [recv] set Path:1
19:34::52 [recv] set Path:1
19:34::52 [recv] set Path:1
19:34::52 [recv] set Path:1
19:34::52 [recv] set Path:1
19:34::52 [recv] set Path:1
19:34::52 [recv] set Path:1
19:34::52 [recv] set Path:1
19:34::52 [recv] set Path:1
19:34::52 [recv] set Path:1
19:34::53 [send] set path enable
19:34::57 [recv] set Path:1
19:34::57 [recv] set Path:1
19:34::57 [recv] set Path:1
19:34::57 [recv] set Path:1
19:34::57 [recv] set Path:1
19:34::57 [recv] set Path:1
19:34::57 [recv] set Path:1
19:34::57 [recv] set Path:1
19:34::57 [recv] set Path:1
19:34::57 [recv] set Path:1
19:34::58 [send] set path enable
19:34::58 [send] set path enable
19:35::02 [recv] set Path:1
19:35::02 [recv] set Path:1
19:35::02 [recv] set Path:1
19:35::02 [recv] set Path:1
19:35::02 [recv] set Path:1
19:35::02 [recv] set Path:1
19:35::02 [recv] set Path:1
19:35::02 [recv] set Path:1
19:35::02 [recv] set Path:1
19:35::02 [recv] set Path:1
19:35::02 [send] set path enable
19:35::04 [recv] set Path:1
19:35::04 [recv] set Path:1
19:35::04 [recv] set Path:1
19:35::04 [recv] set Path:1
19:35::04 [recv] set Path:1
19:35::04 [recv] set Path:1
19:35::04 [recv] set Path:1
19:35::04 [recv] set Path:1
19:35::04 [recv] set Path:1
19:35::04 [recv] set Path:1
19:35::08 [send] set path enable
19:35::13 [recv] set Path:1
19:35::13 [recv] set Path:1
19:35::13 [recv] set Path:1
19:35::13 [recv] set Path:1
19:35::13 [recv] set Path:1
19:35::13 [recv] set Path:1
19:35::13 [recv] set Path:1
19:35::13 [recv] set Path:1
19:35::13 [recv] set Path:1
19:35::13 [recv] set Path:1
