23:58::09 [init] AGV: 1 Online
23:58::09 [init] Mac: 01
23:58::09 [init] Power param: FullLimit=0,HighLimit=0,LowLimit=0
00:02::41 [recv] set Path:1
00:02::41 [recv] set Path:1
00:02::41 [recv] set Path:1
00:02::41 [recv] set Path:1
00:02::41 [recv] set Path:1
00:02::41 [recv] set Path:1
00:02::41 [recv] set Path:1
00:02::41 [recv] set Path:1
00:02::41 [recv] set Path:1
00:02::41 [recv] set Path:1
00:02::41 [send] set path enable
00:02::45 [proc] plan: currentID:1
00:02::45 [proc] plan: currentID:1
00:02::45 [proc] plan: currentID:1
00:02::45 [proc] plan: currentID:1
00:02::45 [recv] set Path:1
00:02::45 [recv] set Path:1
00:02::45 [recv] set Path:1
00:02::45 [recv] set Path:1
00:02::45 [recv] set Path:1
00:02::45 [recv] set Path:1
00:02::45 [recv] set Path:1
00:02::45 [recv] set Path:1
00:02::45 [recv] set Path:1
00:02::45 [recv] set Path:1
00:02::46 [send] set path enable
00:02::50 [proc] plan: currentID:46
00:02::52 [recv] set Path:1
00:02::52 [recv] set Path:1
00:02::52 [recv] set Path:1
00:02::52 [recv] set Path:1
00:02::52 [recv] set Path:1
00:02::52 [recv] set Path:1
00:02::52 [recv] set Path:1
00:02::52 [recv] set Path:1
00:02::52 [recv] set Path:1
00:02::52 [recv] set Path:1
00:02::53 [send] set path enable
00:02::53 [proc] plan: currentID:43
00:02::54 [proc] plan: currentID:44
00:02::55 [recv] set Path:1
00:02::55 [recv] set Path:1
00:02::55 [recv] set Path:1
00:02::55 [recv] set Path:1
00:02::55 [recv] set Path:1
00:02::55 [recv] set Path:1
00:02::55 [recv] set Path:1
00:02::55 [recv] set Path:1
00:02::55 [recv] set Path:1
00:02::55 [recv] set Path:1
00:02::56 [send] set path enable
00:02::56 [proc] plan: currentID:48
00:03::02 [proc] plan: currentID:52
00:03::03 [recv] set Path:1
00:03::03 [recv] set Path:1
00:03::03 [recv] set Path:1
00:03::03 [recv] set Path:1
00:03::03 [recv] set Path:1
00:03::03 [recv] set Path:1
00:03::03 [recv] set Path:1
00:03::03 [recv] set Path:1
00:03::03 [recv] set Path:1
00:03::03 [recv] set Path:1
00:03::03 [proc] plan: currentID:55
00:03::04 [send] set path enable
00:03::05 [proc] plan: currentID:59
00:03::05 [recv] set Path:1
00:03::05 [recv] set Path:1
00:03::05 [recv] set Path:1
00:03::05 [recv] set Path:1
00:03::05 [recv] set Path:1
00:03::05 [recv] set Path:1
00:03::05 [recv] set Path:1
00:03::05 [recv] set Path:1
00:03::05 [recv] set Path:1
00:03::05 [recv] set Path:1
00:03::08 [proc] plan: currentID:62
00:03::08 [send] set path enable
00:03::10 [proc] plan: currentID:66
00:03::10 [recv] set Path:1
00:03::10 [recv] set Path:1
00:03::10 [recv] set Path:1
00:03::10 [recv] set Path:1
00:03::10 [recv] set Path:1
00:03::10 [recv] set Path:1
00:03::10 [recv] set Path:1
00:03::10 [recv] set Path:1
00:03::10 [recv] set Path:1
00:03::10 [recv] set Path:1
00:03::11 [send] set path enable
00:03::14 [proc] plan: currentID:71
00:03::18 [proc] plan: currentID:70
00:03::21 [proc] plan: currentID:21
00:03::22 [recv] set Path:1
00:03::22 [recv] set Path:1
00:03::22 [recv] set Path:1
00:03::22 [recv] set Path:1
00:03::22 [recv] set Path:1
00:03::22 [recv] set Path:1
00:03::22 [recv] set Path:1
00:03::22 [recv] set Path:1
00:03::22 [recv] set Path:1
00:03::22 [recv] set Path:1
00:03::23 [send] set path enable
00:03::27 [proc] plan: currentID:70
00:03::27 [proc] plan: currentID:72
00:03::27 [recv] set Path:1
00:03::27 [recv] set Path:1
00:03::27 [recv] set Path:1
00:03::27 [recv] set Path:1
00:03::27 [recv] set Path:1
00:03::27 [recv] set Path:1
00:03::27 [recv] set Path:1
00:03::27 [recv] set Path:1
00:03::27 [recv] set Path:1
00:03::27 [recv] set Path:1
00:03::28 [send] set path enable
00:03::29 [proc] plan: currentID:73
00:03::29 [recv] set Path:1
00:03::29 [recv] set Path:1
00:03::29 [recv] set Path:1
00:03::29 [recv] set Path:1
00:03::29 [recv] set Path:1
00:03::29 [recv] set Path:1
00:03::29 [recv] set Path:1
00:03::29 [recv] set Path:1
00:03::29 [recv] set Path:1
00:03::29 [recv] set Path:1
00:03::30 [send] set path enable
00:03::31 [proc] plan: currentID:74
00:03::33 [proc] plan: currentID:68
00:03::33 [recv] set Path:1
00:03::33 [recv] set Path:1
00:03::33 [recv] set Path:1
00:03::33 [recv] set Path:1
00:03::33 [recv] set Path:1
00:03::33 [recv] set Path:1
00:03::33 [recv] set Path:1
00:03::33 [recv] set Path:1
00:03::33 [recv] set Path:1
00:03::33 [recv] set Path:1
00:03::34 [send] set path enable
00:03::35 [proc] plan: currentID:65
00:03::37 [proc] plan: currentID:175
00:03::37 [recv] set Path:1
00:03::37 [recv] set Path:1
00:03::37 [recv] set Path:1
00:03::37 [recv] set Path:1
00:03::37 [recv] set Path:1
00:03::37 [recv] set Path:1
00:03::37 [recv] set Path:1
00:03::37 [recv] set Path:1
00:03::37 [recv] set Path:1
00:03::37 [recv] set Path:1
00:03::38 [proc] plan: currentID:58
00:03::38 [send] set path enable
00:03::39 [proc] plan: currentID:53
00:03::39 [recv] set Path:1
00:03::39 [recv] set Path:1
00:03::39 [recv] set Path:1
00:03::39 [recv] set Path:1
00:03::39 [recv] set Path:1
00:03::39 [recv] set Path:1
00:03::39 [recv] set Path:1
00:03::39 [recv] set Path:1
00:03::39 [recv] set Path:1
00:03::39 [recv] set Path:1
00:03::40 [send] set path enable
00:03::45 [proc] plan: currentID:49
00:03::48 [proc] plan: currentID:45
00:03::48 [proc] plan: currentID:46
00:03::48 [recv] set Path:1
00:03::48 [recv] set Path:1
00:03::48 [recv] set Path:1
00:03::48 [recv] set Path:1
00:03::48 [recv] set Path:1
00:03::48 [recv] set Path:1
00:03::48 [recv] set Path:1
00:03::48 [recv] set Path:1
00:03::48 [recv] set Path:1
00:03::48 [recv] set Path:1
00:03::51 [send] set path enable
00:03::55 [proc] plan: currentID:1
00:03::55 [proc] plan: currentID:1
00:03::56 [proc] plan: currentID:1
00:03::56 [proc] plan: currentID:1
00:03::56 [recv] set Path:1
00:03::56 [recv] set Path:1
00:03::56 [recv] set Path:1
00:03::56 [recv] set Path:1
00:03::56 [recv] set Path:1
00:03::56 [recv] set Path:1
00:03::56 [recv] set Path:1
00:03::56 [recv] set Path:1
00:03::56 [recv] set Path:1
00:03::56 [recv] set Path:1
00:03::56 [send] set path enable
00:04::02 [proc] plan: currentID:46
00:04::03 [recv] set Path:1
00:04::03 [recv] set Path:1
00:04::03 [recv] set Path:1
00:04::03 [recv] set Path:1
00:04::03 [recv] set Path:1
00:04::03 [recv] set Path:1
00:04::03 [recv] set Path:1
00:04::03 [recv] set Path:1
00:04::03 [recv] set Path:1
00:04::03 [recv] set Path:1
00:04::03 [proc] plan: currentID:43
00:04::04 [send] set path enable
00:04::05 [proc] plan: currentID:44
00:04::06 [recv] set Path:1
00:04::06 [recv] set Path:1
00:04::06 [recv] set Path:1
00:04::06 [recv] set Path:1
00:04::06 [recv] set Path:1
00:04::06 [recv] set Path:1
00:04::06 [recv] set Path:1
00:04::06 [recv] set Path:1
00:04::06 [recv] set Path:1
00:04::06 [recv] set Path:1
00:04::09 [proc] plan: currentID:48
00:04::10 [send] set path enable
00:04::17 [proc] plan: currentID:52
00:04::19 [proc] plan: currentID:55
00:04::20 [recv] set Path:1
00:04::20 [recv] set Path:1
00:04::20 [recv] set Path:1
00:04::20 [recv] set Path:1
00:04::20 [recv] set Path:1
00:04::20 [recv] set Path:1
00:04::20 [recv] set Path:1
00:04::20 [recv] set Path:1
00:04::20 [recv] set Path:1
00:04::20 [recv] set Path:1
00:04::21 [send] set path enable
00:04::22 [proc] plan: currentID:59
00:04::22 [recv] set Path:1
00:04::22 [recv] set Path:1
00:04::22 [recv] set Path:1
00:04::22 [recv] set Path:1
00:04::22 [recv] set Path:1
00:04::22 [recv] set Path:1
00:04::22 [recv] set Path:1
00:04::22 [recv] set Path:1
00:04::22 [recv] set Path:1
00:04::22 [recv] set Path:1
00:04::25 [proc] plan: currentID:62
00:04::25 [send] set path enable
00:04::27 [proc] plan: currentID:66
00:04::27 [recv] set Path:1
00:04::27 [recv] set Path:1
00:04::27 [recv] set Path:1
00:04::27 [recv] set Path:1
00:04::27 [recv] set Path:1
00:04::27 [recv] set Path:1
00:04::27 [recv] set Path:1
00:04::27 [recv] set Path:1
00:04::27 [recv] set Path:1
00:04::27 [recv] set Path:1
