23:58::37 [init] AGV: 3 Online
23:58::37 [init] Mac: 03
23:58::37 [init] Power param: FullLimit=0,HighLimit=0,LowLimit=0
00:02::24 [recv] set Path:1
00:02::24 [recv] set Path:1
00:02::24 [recv] set Path:1
00:02::24 [recv] set Path:1
00:02::24 [recv] set Path:1
00:02::24 [recv] set Path:1
00:02::24 [recv] set Path:1
00:02::24 [recv] set Path:1
00:02::24 [recv] set Path:1
00:02::24 [recv] set Path:1
00:02::40 [send] set path enable
00:02::44 [proc] plan: currentID:5
00:02::44 [proc] plan: currentID:5
00:02::44 [proc] plan: currentID:5
00:02::44 [proc] plan: currentID:5
00:02::45 [recv] set Path:1
00:02::45 [recv] set Path:1
00:02::45 [recv] set Path:1
00:02::45 [recv] set Path:1
00:02::45 [recv] set Path:1
00:02::45 [recv] set Path:1
00:02::45 [recv] set Path:1
00:02::45 [recv] set Path:1
00:02::45 [recv] set Path:1
00:02::45 [recv] set Path:1
00:02::46 [send] set path enable
00:02::52 [proc] plan: currentID:69
00:02::53 [recv] set Path:1
00:02::53 [recv] set Path:1
00:02::53 [recv] set Path:1
00:02::53 [recv] set Path:1
00:02::53 [recv] set Path:1
00:02::53 [recv] set Path:1
00:02::53 [recv] set Path:1
00:02::53 [recv] set Path:1
00:02::53 [recv] set Path:1
00:02::53 [recv] set Path:1
00:02::54 [proc] plan: currentID:67
00:02::54 [send] set path enable
00:02::56 [proc] plan: currentID:66
00:02::56 [recv] set Path:1
00:02::56 [recv] set Path:1
00:02::56 [recv] set Path:1
00:02::56 [recv] set Path:1
00:02::56 [recv] set Path:1
00:02::56 [recv] set Path:1
00:02::56 [recv] set Path:1
00:02::56 [recv] set Path:1
00:02::56 [recv] set Path:1
00:02::56 [recv] set Path:1
00:02::57 [send] set path enable
00:02::57 [proc] plan: currentID:71
00:02::59 [proc] plan: currentID:77
00:03::00 [recv] set Path:1
00:03::00 [recv] set Path:1
00:03::00 [recv] set Path:1
00:03::00 [recv] set Path:1
00:03::00 [recv] set Path:1
00:03::00 [recv] set Path:1
00:03::00 [recv] set Path:1
00:03::00 [recv] set Path:1
00:03::00 [recv] set Path:1
00:03::00 [recv] set Path:1
00:03::01 [proc] plan: currentID:80
00:03::01 [send] set path enable
00:03::03 [proc] plan: currentID:84
00:03::04 [recv] set Path:1
00:03::04 [recv] set Path:1
00:03::04 [recv] set Path:1
00:03::04 [recv] set Path:1
00:03::04 [recv] set Path:1
00:03::04 [recv] set Path:1
00:03::04 [recv] set Path:1
00:03::04 [recv] set Path:1
00:03::04 [recv] set Path:1
00:03::04 [recv] set Path:1
00:03::04 [proc] plan: currentID:88
00:03::05 [send] set path enable
00:03::08 [proc] plan: currentID:93
00:03::08 [proc] plan: currentID:92
00:03::09 [recv] set Path:1
00:03::09 [recv] set Path:1
00:03::09 [recv] set Path:1
00:03::09 [recv] set Path:1
00:03::09 [recv] set Path:1
00:03::09 [recv] set Path:1
00:03::09 [recv] set Path:1
00:03::09 [recv] set Path:1
00:03::09 [recv] set Path:1
00:03::09 [recv] set Path:1
00:03::10 [send] set path enable
00:03::12 [proc] plan: currentID:23
00:03::12 [proc] plan: currentID:23
00:03::12 [proc] plan: currentID:23
00:03::14 [proc] plan: currentID:23
00:03::21 [recv] set Path:1
00:03::21 [recv] set Path:1
00:03::21 [recv] set Path:1
00:03::21 [recv] set Path:1
00:03::21 [recv] set Path:1
00:03::21 [recv] set Path:1
00:03::21 [recv] set Path:1
00:03::21 [recv] set Path:1
00:03::21 [recv] set Path:1
00:03::21 [recv] set Path:1
00:03::22 [send] set path enable
00:03::25 [proc] plan: currentID:92
00:03::27 [proc] plan: currentID:94
00:03::28 [recv] set Path:1
00:03::28 [recv] set Path:1
00:03::28 [recv] set Path:1
00:03::28 [recv] set Path:1
00:03::28 [recv] set Path:1
00:03::28 [recv] set Path:1
00:03::28 [recv] set Path:1
00:03::28 [recv] set Path:1
00:03::28 [recv] set Path:1
00:03::28 [recv] set Path:1
00:03::29 [send] set path enable
00:03::30 [proc] plan: currentID:95
00:03::30 [recv] set Path:1
00:03::30 [recv] set Path:1
00:03::30 [recv] set Path:1
00:03::30 [recv] set Path:1
00:03::30 [recv] set Path:1
00:03::30 [recv] set Path:1
00:03::30 [recv] set Path:1
00:03::30 [recv] set Path:1
00:03::30 [recv] set Path:1
00:03::30 [recv] set Path:1
00:03::31 [send] set path enable
00:03::32 [proc] plan: currentID:97
00:03::36 [proc] plan: currentID:9
00:03::36 [proc] plan: currentID:9
00:03::36 [proc] plan: currentID:9
00:03::36 [proc] plan: currentID:9
00:03::36 [recv] set Path:1
00:03::36 [recv] set Path:1
00:03::36 [recv] set Path:1
00:03::36 [recv] set Path:1
00:03::36 [recv] set Path:1
00:03::36 [recv] set Path:1
00:03::36 [recv] set Path:1
00:03::36 [recv] set Path:1
00:03::36 [recv] set Path:1
00:03::36 [recv] set Path:1
00:03::37 [send] set path enable
00:03::41 [proc] plan: currentID:97
00:03::42 [recv] set Path:1
00:03::42 [recv] set Path:1
00:03::42 [recv] set Path:1
00:03::42 [recv] set Path:1
00:03::42 [recv] set Path:1
00:03::42 [recv] set Path:1
00:03::42 [recv] set Path:1
00:03::42 [recv] set Path:1
00:03::42 [recv] set Path:1
00:03::42 [recv] set Path:1
00:03::43 [send] set path enable
00:03::43 [proc] plan: currentID:95
00:03::44 [proc] plan: currentID:94
00:03::45 [recv] set Path:1
00:03::45 [recv] set Path:1
00:03::45 [recv] set Path:1
00:03::45 [recv] set Path:1
00:03::45 [recv] set Path:1
00:03::45 [recv] set Path:1
00:03::45 [recv] set Path:1
00:03::45 [recv] set Path:1
00:03::45 [recv] set Path:1
00:03::45 [recv] set Path:1
00:03::46 [proc] plan: currentID:93
00:03::51 [send] set path enable
00:03::53 [proc] plan: currentID:98
00:03::53 [recv] set Path:1
00:03::53 [recv] set Path:1
00:03::53 [recv] set Path:1
00:03::53 [recv] set Path:1
00:03::53 [recv] set Path:1
00:03::53 [recv] set Path:1
00:03::53 [recv] set Path:1
00:03::53 [recv] set Path:1
00:03::53 [recv] set Path:1
00:03::53 [recv] set Path:1
00:03::54 [send] set path enable
00:03::55 [proc] plan: currentID:103
00:03::57 [proc] plan: currentID:106
00:03::58 [recv] set Path:1
00:03::58 [recv] set Path:1
00:03::58 [recv] set Path:1
00:03::58 [recv] set Path:1
00:03::58 [recv] set Path:1
00:03::58 [recv] set Path:1
00:03::58 [recv] set Path:1
00:03::58 [recv] set Path:1
00:03::58 [recv] set Path:1
00:03::58 [recv] set Path:1
00:03::58 [proc] plan: currentID:113
00:03::59 [send] set path enable
00:04::02 [proc] plan: currentID:114
00:04::03 [recv] set Path:1
00:04::03 [recv] set Path:1
00:04::03 [recv] set Path:1
00:04::03 [recv] set Path:1
00:04::03 [recv] set Path:1
00:04::03 [recv] set Path:1
00:04::03 [recv] set Path:1
00:04::03 [recv] set Path:1
00:04::03 [recv] set Path:1
00:04::03 [recv] set Path:1
00:04::03 [proc] plan: currentID:120
00:04::03 [send] set path enable
00:04::05 [proc] plan: currentID:123
00:04::06 [recv] set Path:1
00:04::06 [recv] set Path:1
00:04::06 [recv] set Path:1
00:04::06 [recv] set Path:1
00:04::06 [recv] set Path:1
00:04::06 [recv] set Path:1
00:04::06 [recv] set Path:1
00:04::06 [recv] set Path:1
00:04::06 [recv] set Path:1
00:04::06 [recv] set Path:1
00:04::07 [send] set path enable
00:04::09 [proc] plan: currentID:131
00:04::10 [proc] plan: currentID:133
00:04::10 [recv] set Path:1
00:04::10 [recv] set Path:1
00:04::10 [recv] set Path:1
00:04::10 [recv] set Path:1
00:04::10 [recv] set Path:1
00:04::10 [recv] set Path:1
00:04::10 [recv] set Path:1
00:04::10 [recv] set Path:1
00:04::10 [recv] set Path:1
00:04::10 [recv] set Path:1
00:04::11 [send] set path enable
00:04::11 [proc] plan: currentID:132
00:04::13 [proc] plan: currentID:27
00:04::13 [proc] plan: currentID:27
00:04::13 [proc] plan: currentID:27
00:04::15 [proc] plan: currentID:27
00:04::17 [recv] set Path:1
00:04::17 [recv] set Path:1
00:04::17 [recv] set Path:1
00:04::17 [recv] set Path:1
00:04::17 [recv] set Path:1
00:04::17 [recv] set Path:1
00:04::17 [recv] set Path:1
00:04::17 [recv] set Path:1
00:04::17 [recv] set Path:1
00:04::17 [recv] set Path:1
00:04::20 [send] set path enable
00:04::22 [proc] plan: currentID:132
00:04::22 [recv] set Path:1
00:04::22 [recv] set Path:1
00:04::22 [recv] set Path:1
00:04::22 [recv] set Path:1
00:04::22 [recv] set Path:1
00:04::22 [recv] set Path:1
00:04::22 [recv] set Path:1
00:04::22 [recv] set Path:1
00:04::22 [recv] set Path:1
00:04::22 [recv] set Path:1
00:04::23 [send] set path enable
00:04::25 [proc] plan: currentID:134
00:04::25 [proc] plan: currentID:135
00:04::26 [recv] set Path:1
00:04::26 [recv] set Path:1
00:04::26 [recv] set Path:1
00:04::26 [recv] set Path:1
00:04::26 [recv] set Path:1
00:04::26 [recv] set Path:1
00:04::26 [recv] set Path:1
00:04::26 [recv] set Path:1
00:04::26 [recv] set Path:1
00:04::26 [recv] set Path:1
00:04::26 [proc] plan: currentID:136
00:04::26 [proc] plan: currentID:136
00:04::27 [recv] set Path:1
00:04::27 [recv] set Path:1
00:04::27 [recv] set Path:1
00:04::27 [recv] set Path:1
00:04::27 [recv] set Path:1
00:04::27 [recv] set Path:1
00:04::27 [recv] set Path:1
00:04::27 [recv] set Path:1
00:04::27 [recv] set Path:1
00:04::27 [recv] set Path:1
00:04::28 [send] set path enable
