08:44::08 [init] AGV: 1 Online
08:44::08 [init] Mac: 01
08:44::08 [init] Power param: FullLimit=0,HighLimit=0,LowLimit=0
08:44::10 [recv] set Path:1
08:44::10 [recv] set Path:1
08:44::13 [recv] set Path:1
08:44::23 [recv] set Path:1
08:44::31 [recv] set Path:1
08:44::41 [recv] set Path:1
08:44::49 [recv] set Path:1
08:44::59 [recv] set Path:1
08:45::07 [recv] set Path:1
08:45::17 [recv] set Path:1
08:45::25 [recv] set Path:1
08:45::35 [recv] set Path:1
08:45::43 [recv] set Path:1
08:45::52 [recv] set Path:1
08:46::01 [recv] set Path:1
