19:41::46 [init] AGV: 7 Online
19:41::46 [init] Mac: 07
19:41::46 [init] Power param: FullLimit=0,HighLimit=0,LowLimit=0
19:41::47 [recv] set Path:1
19:41::47 [recv] set Path:1
19:41::47 [recv] set Path:1
19:41::47 [recv] set Path:1
19:41::47 [recv] set Path:1
19:41::47 [recv] set Path:1
19:41::47 [recv] set Path:1
19:41::47 [recv] set Path:1
19:41::47 [recv] set Path:1
19:41::49 [recv] set Path:1
19:41::49 [recv] set Path:1
19:41::49 [recv] set Path:1
19:41::49 [recv] set Path:1
19:41::49 [recv] set Path:1
19:41::49 [recv] set Path:1
19:41::49 [recv] set Path:1
19:41::49 [recv] set Path:1
19:41::49 [recv] set Path:1
19:41::50 [send] set path enable
19:41::53 [recv] set Path:1
19:41::53 [recv] set Path:1
19:41::53 [recv] set Path:1
19:41::53 [recv] set Path:1
19:41::53 [recv] set Path:1
19:41::53 [recv] set Path:1
19:41::53 [recv] set Path:1
19:41::53 [recv] set Path:1
19:41::53 [recv] set Path:1
19:42::01 [send] set path enable
19:42::02 [recv] set Path:1
19:42::02 [recv] set Path:1
19:42::02 [recv] set Path:1
19:42::02 [recv] set Path:1
19:42::02 [recv] set Path:1
19:42::02 [recv] set Path:1
19:42::02 [recv] set Path:1
19:42::02 [recv] set Path:1
19:42::02 [recv] set Path:1
19:42::03 [send] set path enable
19:42::05 [recv] set Path:1
19:42::05 [recv] set Path:1
19:42::05 [recv] set Path:1
19:42::05 [recv] set Path:1
19:42::05 [recv] set Path:1
19:42::05 [recv] set Path:1
19:42::05 [recv] set Path:1
19:42::05 [recv] set Path:1
19:42::05 [recv] set Path:1
19:42::05 [send] set path enable
19:42::07 [recv] set Path:1
19:42::07 [recv] set Path:1
19:42::07 [recv] set Path:1
19:42::07 [recv] set Path:1
19:42::07 [recv] set Path:1
19:42::07 [recv] set Path:1
19:42::07 [recv] set Path:1
19:42::07 [recv] set Path:1
19:42::07 [recv] set Path:1
19:42::07 [send] set path enable
19:42::08 [recv] set Path:1
19:42::08 [recv] set Path:1
19:42::08 [recv] set Path:1
19:42::08 [recv] set Path:1
19:42::08 [recv] set Path:1
19:42::08 [recv] set Path:1
19:42::08 [recv] set Path:1
19:42::08 [recv] set Path:1
19:42::08 [recv] set Path:1
19:42::09 [send] set path enable
19:42::11 [recv] set Path:1
19:42::11 [recv] set Path:1
19:42::11 [recv] set Path:1
19:42::11 [recv] set Path:1
19:42::11 [recv] set Path:1
19:42::11 [recv] set Path:1
19:42::11 [recv] set Path:1
19:42::11 [recv] set Path:1
19:42::11 [recv] set Path:1
19:42::11 [send] set path enable
19:42::18 [recv] set Path:1
19:42::18 [recv] set Path:1
19:42::18 [recv] set Path:1
19:42::18 [recv] set Path:1
