13:11::32 [init] AGV: 7 Online
13:11::32 [init] Mac: 07
13:11::32 [init] Power param: FullLimit=0,HighLimit=0,LowLimit=0
13:11::32 [send] get power cmd
13:11::34 [proc]agv=:7, match:100
13:11::38 [send] get power cmd
13:11::42 [proc]agv=:7, match:100
13:11::42 [send] get power cmd
13:11::44 [proc]agv=:7, match:100
13:11::44 [proc] plan: currentID:100
13:11::44 [send] get power cmd
13:11::45 [proc]agv=:7, match:100
13:11::46 [send] get power cmd
13:11::47 [proc]agv=:7, match:100
13:11::47 [proc] plan: currentID:100
13:11::48 [send] get power cmd
13:11::49 [send]agv=7 set path command: mode=100 start=100 end=106 
13:11::49 [recv] set Path:1
13:11::49 [proc]agv=:7, match:100
13:11::49 [send] get power cmd
13:11::51 [send] set path enable
13:11::51 [recv] enable Path:1
13:11::51 [send] get power cmd
13:11::53 [send] get power cmd
13:11::56 [send] get power cmd
13:12::00 [send] get power cmd
13:12::01 [send] get power cmd
13:12::03 [send] get power cmd
13:12::05 [send] get power cmd
13:12::07 [send] get power cmd
13:12::08 [send] get power cmd
13:12::10 [send] get power cmd
13:12::12 [send] get power cmd
13:12::14 [send] get power cmd
13:12::15 [send] get power cmd
13:12::17 [send] get power cmd
13:12::19 [send] get power cmd
13:12::21 [send] get power cmd
13:12::22 [send] get power cmd
13:12::24 [send] get power cmd
13:12::26 [send] get power cmd
13:12::28 [send] get power cmd
13:12::29 [send] get power cmd
13:12::31 [send] get power cmd
13:12::33 [send] get power cmd
13:12::35 [send] get power cmd
13:12::36 [send] get power cmd
13:12::38 [send] get power cmd
13:12::40 [send] get power cmd
13:12::42 [send] get power cmd
13:12::44 [send] get power cmd
13:12::45 [send] get power cmd
13:12::47 [send] get power cmd
13:12::49 [send] get power cmd
13:12::51 [send] get power cmd
13:12::53 [send] get power cmd
13:12::54 [send] get power cmd
13:12::56 [send] get power cmd
13:12::58 [send] get power cmd
13:13::00 [send] get power cmd
13:13::01 [send] get power cmd
13:13::03 [send] get power cmd
13:13::11 [send] get power cmd
13:13::12 [send] get power cmd
13:13::14 [send] get power cmd
13:13::16 [send] get power cmd
13:13::17 [send] get power cmd
13:13::18 [send] get power cmd
13:13::19 [send] get power cmd
13:13::20 [send] get power cmd
13:13::21 [send] get power cmd
13:13::22 [send] get power cmd
13:13::26 [send] get power cmd
13:13::27 [send] get power cmd
13:13::28 [send] get power cmd
13:13::29 [send] get power cmd
13:13::30 [send] get power cmd
13:13::31 [send] get power cmd
13:13::32 [send] get power cmd
13:13::34 [send] get power cmd
13:13::35 [send] get power cmd
13:13::36 [send] get power cmd
13:13::37 [send] get power cmd
13:13::38 [send] get power cmd
13:13::39 [send] get power cmd
13:13::40 [send] get power cmd
13:13::41 [send] get power cmd
13:13::42 [send] get power cmd
13:13::43 [send] get power cmd
13:13::44 [send] get power cmd
13:13::45 [send] get power cmd
13:13::46 [send] get power cmd
13:13::47 [send] get power cmd
13:13::48 [send] get power cmd
13:13::49 [send] get power cmd
13:13::51 [send] get power cmd
13:13::52 [send] get power cmd
13:13::53 [send] get power cmd
13:13::54 [send] get power cmd
13:13::55 [send] get power cmd
13:13::56 [send] get power cmd
13:13::57 [send] get power cmd
13:13::58 [send] get power cmd
13:13::59 [send] get power cmd
13:14::00 [send] get power cmd
13:14::01 [send] get power cmd
13:14::02 [send] get power cmd
13:14::03 [send] get power cmd
13:14::04 [send] get power cmd
13:14::05 [send] get power cmd
13:14::06 [send] get power cmd
13:14::08 [send] get power cmd
13:14::09 [send] get power cmd
13:14::10 [send] get power cmd
13:14::11 [send] get power cmd
13:14::12 [send] get power cmd
13:14::13 [send] get power cmd
13:14::14 [send] get power cmd
13:14::15 [send] get power cmd
13:14::16 [send] get power cmd
13:14::17 [send] get power cmd
13:14::18 [send] get power cmd
13:14::19 [send] get power cmd
13:14::20 [send] get power cmd
13:14::21 [send] get power cmd
13:14::22 [send] get power cmd
13:14::23 [send] get power cmd
13:14::25 [send] get power cmd
13:14::26 [send] get power cmd
13:14::27 [send] get power cmd
13:14::28 [send] get power cmd
13:14::29 [send] get power cmd
13:14::30 [send] get power cmd
13:14::31 [send] get power cmd
13:14::32 [send] get power cmd
13:14::33 [send] get power cmd
13:14::34 [send] get power cmd
13:14::35 [send] get power cmd
13:14::36 [send] get power cmd
13:14::37 [send] get power cmd
13:14::38 [send] get power cmd
13:14::39 [send] get power cmd
13:14::40 [send] get power cmd
13:14::42 [send] get power cmd
13:14::43 [send] get power cmd
13:14::44 [send] get power cmd
13:14::45 [send] get power cmd
13:14::46 [send] get power cmd
13:14::47 [send] get power cmd
13:14::48 [send] get power cmd
13:14::49 [send] get power cmd
13:14::50 [send] get power cmd
13:14::51 [send] get power cmd
13:14::52 [send] get power cmd
13:14::53 [send] get power cmd
13:14::54 [send] get power cmd
13:14::55 [send] get power cmd
13:14::56 [send] get power cmd
13:14::57 [send] get power cmd
13:14::59 [send] get power cmd
13:15::00 [send] get power cmd
13:15::01 [send] get power cmd
13:15::02 [send] get power cmd
13:15::03 [send] get power cmd
13:15::04 [send] get power cmd
13:15::05 [send] get power cmd
13:15::06 [send] get power cmd
13:15::07 [send] get power cmd
13:15::08 [send] get power cmd
13:15::09 [send] get power cmd
13:15::10 [send] get power cmd
13:15::11 [send] get power cmd
13:15::12 [send] get power cmd
13:15::13 [send] get power cmd
13:15::15 [send] get power cmd
13:15::16 [send] get power cmd
13:15::17 [send] get power cmd
13:15::18 [send] get power cmd
13:15::19 [send] get power cmd
13:15::20 [send] get power cmd
13:15::21 [send] get power cmd
13:15::22 [send] get power cmd
13:15::23 [send] get power cmd
13:15::24 [send] get power cmd
13:15::25 [send] get power cmd
13:15::26 [send] get power cmd
13:15::27 [send] get power cmd
13:15::28 [send] get power cmd
13:15::29 [send] get power cmd
13:15::30 [send] get power cmd
13:15::32 [send] get power cmd
13:15::33 [send] get power cmd
13:15::34 [send] get power cmd
13:15::35 [send] get power cmd
13:15::36 [send] get power cmd
13:15::37 [send] get power cmd
13:15::38 [send] get power cmd
13:15::39 [send] get power cmd
13:15::40 [send] get power cmd
13:15::41 [send] get power cmd
13:15::42 [send] get power cmd
13:15::43 [send] get power cmd
13:15::44 [send] get power cmd
13:15::45 [send] get power cmd
13:15::46 [send] get power cmd
13:15::47 [send] get power cmd
13:15::49 [send] get power cmd
13:15::50 [send] get power cmd
13:15::51 [send] get power cmd
13:15::52 [send] get power cmd
13:15::53 [send] get power cmd
13:15::54 [send] get power cmd
13:15::55 [send] get power cmd
13:15::56 [send] get power cmd
13:15::57 [send] get power cmd
13:15::58 [send] get power cmd
13:15::59 [send] get power cmd
13:16::00 [send] get power cmd
13:16::01 [send] get power cmd
13:16::02 [send] get power cmd
13:16::03 [send] get power cmd
13:16::04 [send] get power cmd
13:16::06 [send] get power cmd
13:16::07 [send] get power cmd
13:16::08 [send] get power cmd
13:16::09 [send] get power cmd
13:16::10 [send] get power cmd
13:16::11 [send] get power cmd
13:16::12 [send] get power cmd
13:16::13 [send] get power cmd
13:16::14 [send] get power cmd
13:16::15 [send] get power cmd
13:16::16 [send] get power cmd
13:16::17 [send] get power cmd
13:16::18 [send] get power cmd
13:16::19 [send] get power cmd
13:16::20 [send] get power cmd
13:16::21 [send] get power cmd
13:16::23 [send] get power cmd
13:16::24 [send] get power cmd
13:16::25 [send] get power cmd
13:16::26 [send] get power cmd
13:16::27 [send] get power cmd
13:16::28 [send] get power cmd
13:16::29 [send] get power cmd
13:16::30 [send] get power cmd
13:16::31 [send] get power cmd
13:16::32 [send] get power cmd
13:16::33 [send] get power cmd
13:16::34 [send] get power cmd
13:16::35 [send] get power cmd
13:16::36 [send] get power cmd
13:16::37 [send] get power cmd
13:16::38 [send] get power cmd
13:16::40 [send] get power cmd
13:16::41 [send] get power cmd
13:16::42 [send] get power cmd
13:16::43 [send] get power cmd
13:16::44 [send] get power cmd
13:16::45 [send] get power cmd
13:16::46 [send] get power cmd
13:16::47 [send] get power cmd
13:16::48 [send] get power cmd
13:16::49 [send] get power cmd
13:16::50 [send] get power cmd
13:16::51 [send] get power cmd
13:16::52 [send] get power cmd
13:16::53 [send] get power cmd
13:16::54 [send] get power cmd
13:16::55 [send] get power cmd
13:16::57 [send] get power cmd
13:16::58 [send] get power cmd
13:16::59 [send] get power cmd
13:17::00 [send] get power cmd
13:17::01 [send] get power cmd
13:17::02 [send] get power cmd
13:17::03 [send] get power cmd
13:17::04 [send] get power cmd
13:17::05 [send] get power cmd
13:17::06 [send] get power cmd
13:17::07 [send] get power cmd
13:17::08 [send] get power cmd
13:17::09 [send] get power cmd
13:17::10 [send] get power cmd
13:17::11 [send] get power cmd
13:17::12 [send] get power cmd
13:17::14 [send] get power cmd
13:17::15 [send] get power cmd
13:17::16 [send] get power cmd
13:17::17 [send] get power cmd
13:17::18 [send] get power cmd
13:17::19 [send] get power cmd
13:17::20 [send] get power cmd
13:17::21 [send] get power cmd
13:17::22 [send] get power cmd
13:17::23 [send] get power cmd
13:17::24 [send] get power cmd
13:17::25 [send] get power cmd
13:17::26 [send] get power cmd
13:17::27 [send] get power cmd
13:17::28 [send] get power cmd
13:17::29 [send] get power cmd
13:17::31 [send] get power cmd
13:17::32 [send] get power cmd
13:17::33 [send] get power cmd
13:17::34 [send] get power cmd
13:17::35 [send] get power cmd
13:17::36 [send] get power cmd
13:17::37 [send] get power cmd
13:17::38 [send] get power cmd
13:17::39 [send] get power cmd
13:17::40 [send] get power cmd
13:17::41 [send] get power cmd
13:17::42 [send] get power cmd
