21:10::25 [init] AGV: 8 Online
21:10::25 [init] Mac: 08
21:10::25 [init] Power param: FullLimit=0,HighLimit=0,LowLimit=0
21:10::29 [send] get power cmd
21:10::32 [send] get power cmd
21:10::34 [send] get power cmd
21:10::46 [send] get power cmd
21:10::51 [send] get power cmd
21:10::59 [send] get power cmd
21:11::01 [send] get power cmd
21:11::02 [send] get power cmd
21:11::03 [send] get power cmd
21:11::04 [send] get power cmd
21:11::04 [send] get power cmd
21:11::05 [send] get power cmd
21:11::06 [send] get power cmd
21:11::07 [send] get power cmd
21:11::08 [send] get power cmd
21:11::09 [send] get power cmd
21:11::10 [send] get power cmd
21:11::11 [send] get power cmd
21:11::12 [send] get power cmd
21:11::13 [send] get power cmd
21:11::14 [send] get power cmd
21:11::15 [send] get power cmd
21:11::16 [send] get power cmd
21:11::16 [send] get power cmd
21:11::17 [send] get power cmd
21:11::18 [send] get power cmd
21:11::19 [send] get power cmd
21:11::20 [send] get power cmd
21:11::21 [send] get power cmd
21:11::22 [send] get power cmd
21:11::23 [send] get power cmd
21:11::24 [send] get power cmd
21:11::25 [send] get power cmd
21:11::25 [send] get power cmd
21:11::26 [send] get power cmd
21:11::27 [send] get power cmd
21:11::28 [send] get power cmd
21:11::29 [send] get power cmd
21:11::30 [send] get power cmd
21:11::31 [send] get power cmd
21:11::32 [send] get power cmd
21:11::32 [send] get power cmd
21:11::33 [send] get power cmd
21:11::34 [send] get power cmd
21:11::35 [send] get power cmd
21:11::36 [send] get power cmd
21:11::37 [send] get power cmd
21:11::39 [send] get power cmd
21:11::40 [send] get power cmd
21:11::41 [send] get power cmd
21:11::43 [send] get power cmd
21:11::44 [send] get power cmd
21:11::45 [send] get power cmd
21:11::48 [send] get power cmd
21:11::57 [send] get power cmd
21:11::58 [send] get power cmd
21:11::59 [send] get power cmd
21:12::02 [send] get power cmd
21:12::05 [send] get power cmd
21:12::06 [send] get power cmd
21:12::09 [send] get power cmd
21:12::10 [send] get power cmd
21:12::11 [send] get power cmd
21:12::13 [send] get power cmd
21:12::13 [send] get power cmd
21:12::16 [send] get power cmd
21:12::18 [send] get power cmd
21:12::19 [send] get power cmd
21:12::21 [send] get power cmd
21:12::22 [send] get power cmd
21:12::23 [send] get power cmd
21:12::27 [send] get power cmd
21:12::35 [send] get power cmd
21:12::37 [send] get power cmd
21:12::41 [send] get power cmd
21:12::41 [send] get power cmd
21:12::43 [send] get power cmd
21:12::43 [send] get power cmd
21:12::45 [send] get power cmd
21:12::46 [send] get power cmd
21:12::52 [send] get power cmd
21:12::52 [send] get power cmd
21:12::56 [send] get power cmd
21:12::59 [send] get power cmd
21:13::01 [send] get power cmd
21:13::02 [send] get power cmd
21:13::07 [send] get power cmd
21:13::09 [send] get power cmd
21:13::10 [send] get power cmd
21:13::12 [send] get power cmd
21:13::13 [send] get power cmd
21:13::13 [send] get power cmd
21:13::14 [send] get power cmd
21:13::16 [send] get power cmd
21:13::20 [send] get power cmd
21:13::21 [send] get power cmd
21:13::22 [send] get power cmd
21:13::23 [send] get power cmd
21:13::25 [send] get power cmd
21:13::27 [send] get power cmd
21:13::28 [send] get power cmd
21:13::29 [send] get power cmd
21:13::30 [send] get power cmd
21:13::31 [send] get power cmd
21:13::33 [send] get power cmd
21:13::34 [send] get power cmd
21:13::35 [send] get power cmd
21:13::36 [send] get power cmd
21:13::39 [send] get power cmd
21:13::40 [send] get power cmd
21:13::40 [send] get power cmd
21:13::41 [send] get power cmd
21:13::43 [send] get power cmd
21:13::44 [send] get power cmd
21:13::45 [send] get power cmd
21:13::46 [send] get power cmd
21:13::47 [send] get power cmd
21:13::48 [send] get power cmd
21:13::50 [send] get power cmd
21:13::51 [send] get power cmd
21:13::53 [send] get power cmd
21:13::54 [send] get power cmd
21:13::55 [send] get power cmd
21:14::00 [send] get power cmd
21:14::01 [send] get power cmd
21:14::02 [send] get power cmd
21:14::03 [send] get power cmd
21:14::04 [send] get power cmd
21:14::05 [send] get power cmd
21:14::06 [send] get power cmd
21:14::07 [send] get power cmd
21:14::21 [send] get power cmd
21:14::22 [send] get power cmd
21:14::23 [send] get power cmd
21:14::25 [send] get power cmd
21:14::26 [send] get power cmd
21:14::28 [send] get power cmd
21:14::28 [send] get power cmd
21:14::31 [send] get power cmd
21:14::31 [send] get power cmd
21:14::33 [send] get power cmd
21:14::35 [send] get power cmd
21:14::36 [send] get power cmd
21:14::38 [send] get power cmd
21:14::40 [send] get power cmd
21:14::41 [send] get power cmd
21:14::43 [send] get power cmd
21:14::43 [send] get power cmd
21:14::44 [send] get power cmd
21:14::46 [send] get power cmd
21:14::46 [send] get power cmd
21:14::48 [send] get power cmd
21:14::48 [send] get power cmd
21:14::49 [send] get power cmd
21:14::50 [send] get power cmd
21:14::51 [send] get power cmd
21:14::52 [send] get power cmd
21:14::53 [send] get power cmd
21:14::54 [send] get power cmd
21:14::55 [send] get power cmd
21:14::56 [send] get power cmd
21:14::57 [send] get power cmd
21:14::58 [send] get power cmd
21:14::59 [send] get power cmd
21:15::00 [send] get power cmd
21:15::01 [send] get power cmd
21:15::01 [send] get power cmd
21:15::02 [send] get power cmd
21:15::03 [send] get power cmd
21:15::04 [send] get power cmd
21:15::05 [send] get power cmd
