09:14::43 [init] AGV: 7 Online
09:14::43 [init] Mac: 07
09:14::43 [init] Power param: FullLimit=0,HighLimit=0,LowLimit=0
09:14::43 [send] get power cmd
09:14::46 [send]agv=7 set path command: mode=100 start=100 end=94 
09:14::46 [recv] set Path:1
09:14::46 [proc]agv=:7, match:100
09:14::46 [send] get power cmd
09:14::47 [send] set path enable
09:14::47 [recv] enable Path:1
09:14::48 [send] get power cmd
09:14::49 [send] get power cmd
09:14::50 [send] get power cmd
09:14::52 [send] get power cmd
09:14::53 [send] get power cmd
09:14::55 [send] get power cmd
09:14::56 [send] get power cmd
09:14::58 [send] get power cmd
09:14::59 [send] get power cmd
09:15::01 [send] get power cmd
09:15::02 [send] get power cmd
09:15::03 [proc] plan: currentID:94
09:15::03 [send] get power cmd
09:15::04 [send]agv=7 set path command: mode=100 start=94 end=100 
09:15::04 [recv] set Path:1
09:15::05 [send] get power cmd
09:15::05 [send] set path enable
09:15::05 [recv] enable Path:1
09:15::06 [send] get power cmd
09:15::08 [send] get power cmd
09:15::09 [send] get power cmd
09:15::10 [send] get power cmd
09:15::12 [send] get power cmd
09:15::13 [send] get power cmd
09:15::17 [send] get power cmd
09:15::18 [send] get power cmd
09:15::20 [send] get power cmd
09:15::21 [send] get power cmd
09:15::22 [send] get power cmd
09:15::24 [send] get power cmd
09:15::25 [send] get power cmd
09:15::27 [send] get power cmd
09:15::28 [send] get power cmd
09:15::29 [send] get power cmd
09:15::31 [send] get power cmd
09:15::32 [send] get power cmd
09:15::34 [send] get power cmd
09:15::35 [send] get power cmd
09:15::36 [send] get power cmd
09:15::38 [send] get power cmd
09:15::39 [send] get power cmd
09:15::41 [send] get power cmd
09:15::42 [send] get power cmd
09:15::43 [send] get power cmd
09:15::45 [send] get power cmd
09:15::46 [send] get power cmd
09:15::48 [send] get power cmd
09:15::49 [send] get power cmd
09:15::50 [send] get power cmd
09:15::52 [send] get power cmd
09:15::53 [send] get power cmd
09:15::55 [send] get power cmd
09:15::56 [send] get power cmd
09:15::58 [send] get power cmd
09:15::59 [send] get power cmd
09:16::00 [send] get power cmd
09:16::02 [send] get power cmd
09:16::03 [send] get power cmd
09:16::05 [send] get power cmd
09:16::06 [send] get power cmd
09:16::07 [send] get power cmd
09:16::09 [send] get power cmd
09:16::10 [send] get power cmd
09:16::12 [send] get power cmd
09:16::13 [send] get power cmd
09:16::15 [send] get power cmd
09:16::16 [send] get power cmd
09:16::18 [send] get power cmd
09:16::19 [send] get power cmd
09:16::20 [send] get power cmd
09:16::22 [send] get power cmd
09:16::23 [send] get power cmd
09:16::25 [send] get power cmd
09:16::26 [send] get power cmd
09:16::28 [send] get power cmd
09:16::29 [send] get power cmd
09:16::31 [send] get power cmd
09:16::32 [send] get power cmd
09:16::33 [send] get power cmd
09:16::35 [send] get power cmd
09:16::36 [send] get power cmd
09:16::38 [send] get power cmd
09:16::39 [send] get power cmd
09:16::40 [send] get power cmd
09:16::41 [send] get power cmd
